#,time,dewpoint_2meter,temperature_2meter,cape_index,mean_sea_level_pressure,snow_depth,snowfall,surface_pressure,solar_radiation_surface,total_cloud_cover,total_precipitation,relative_humidity,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_direction_text_10m,wind_direction_text_100m,windchill,uv_index,precipitation_type
1,2003-01-01 00:00,-9.9,-6.7,0.0,1018.3,0.0,0.0,1015.2,0.0,1.0,0.0,78.0,3.6,6.4,314.0,318.0,NW,NW,-12.2,0.0,no precipitation
2,2003-01-01 01:00,-9.9,-7.0,0.0,1017.5,0.0,0.0,1014.3,0.0,0.0,0.0,80.0,3.6,6.8,313.0,318.0,NW,NW,-12.5,0.0,no precipitation
3,2003-01-01 02:00,-9.8,-7.3,0.0,1016.8,0.0,0.0,1013.6,0.0,5.0,0.0,83.0,3.7,7.0,314.0,318.0,NW,NW,-13.0,0.0,no precipitation
4,2003-01-01 03:00,-9.3,-7.1,0.0,1016.0,0.0,0.0,1012.8,0.0,0.0,0.0,84.0,3.7,6.8,318.0,321.0,NW,NW,-12.8,0.0,no precipitation
5,2003-01-01 04:00,-9.3,-7.1,0.0,1015.4,0.0,0.0,1012.2,0.0,1.0,0.0,84.0,3.5,6.0,325.0,327.0,NW,NW,-12.6,0.0,no precipitation
6,2003-01-01 05:00,-9.3,-7.3,0.0,1014.2,0.0,0.0,1011.0,0.0,4.0,0.0,85.0,3.5,5.9,324.0,328.0,NW,NW,-12.8,0.0,no precipitation
7,2003-01-01 06:00,-9.2,-7.3,0.0,1013.3,0.0,0.0,1010.1,0.0,7.0,0.0,86.0,3.4,5.7,325.0,329.0,NW,NW,-12.7,0.0,no precipitation
8,2003-01-01 07:00,-9.0,-7.3,0.0,1012.6,0.0,0.0,1009.4,0.0,17.0,0.0,88.0,3.2,5.5,332.0,336.0,NW,NW,-12.5,0.0,snow
9,2003-01-01 08:00,-9.0,-7.5,0.0,1011.9,0.0,0.0,1008.7,2.0,72.0,0.0,89.0,3.0,5.1,336.0,342.0,NW,N,-12.6,0.0,snow
10,2003-01-01 09:00,-8.8,-7.6,0.0,1010.7,0.0,0.0,1007.5,41.0,96.0,0.0,91.0,3.1,5.0,332.0,340.0,NW,N,-12.8,0.0,snow
11,2003-01-01 10:00,-7.8,-6.2,0.0,1009.5,0.0,0.0,1006.3,80.0,100.0,0.0,89.0,3.3,4.9,342.0,345.0,N,N,-11.3,1.0,snow
12,2003-01-01 11:00,-7.2,-5.7,0.0,1008.5,0.0,0.0,1005.3,93.0,100.0,0.0,89.0,3.1,4.5,346.0,351.0,N,N,-10.5,1.0,snow
13,2003-01-01 12:00,-6.6,-5.0,0.0,1006.7,0.0,0.0,1003.5,75.0,100.0,0.0,89.0,3.1,4.5,334.0,340.0,NW,N,-9.7,1.0,snow
14,2003-01-01 13:00,-6.1,-4.4,10.0,1005.3,0.0,0.0,1002.2,60.0,100.0,0.0,88.0,3.1,4.7,329.0,335.0,NW,NW,-9.0,1.0,snow
15,2003-01-01 14:00,-5.4,-3.9,0.0,1003.5,0.0,0.0,1000.4,32.0,100.0,0.0,89.0,3.6,5.7,316.0,323.0,NW,NW,-8.7,0.0,snow
16,2003-01-01 15:00,-4.8,-3.4,0.0,1001.9,0.0,0.0,998.7,10.0,100.0,0.0,90.0,4.1,6.9,314.0,322.0,NW,NW,-8.5,0.0,snow
17,2003-01-01 16:00,-4.3,-3.0,0.0,1000.1,0.0,0.1,997.0,0.0,100.0,0.1,91.0,4.3,8.1,312.0,320.0,NW,NW,-8.3,0.0,snow
18,2003-01-01 17:00,-3.6,-2.7,0.0,998.3,0.0,0.2,995.2,0.0,100.0,0.2,93.0,4.8,8.9,311.0,320.0,NW,NW,-8.2,0.0,snow
19,2003-01-01 18:00,-3.0,-2.5,0.0,996.1,0.0,0.8,993.0,0.0,100.0,0.8,97.0,5.1,9.1,310.0,319.0,NW,NW,-8.2,0.0,snow
20,2003-01-01 19:00,-2.3,-2.0,0.0,994.4,0.0,0.5,991.3,0.0,100.0,0.8,98.0,5.0,9.0,311.0,320.0,NW,NW,-7.5,0.0,ice pellets
