#,Date(dd.mm.yyyy),GMT-Time(HH:00:00),CloseMid
1,01.01.2010,01:00:00,NA
2,01.01.2010,02:00:00,NA
3,01.01.2010,03:00:00,NA
4,01.01.2010,04:00:00,NA
5,01.01.2010,05:00:00,NA
6,01.01.2010,06:00:00,NA
7,01.01.2010,07:00:00,93.095
8,01.01.2010,08:00:00,NA
9,01.01.2010,09:00:00,NA
10,01.01.2010,10:00:00,NA
11,01.01.2010,11:00:00,NA
12,01.01.2010,12:00:00,93.095
13,01.01.2010,13:00:00,NA
14,01.01.2010,14:00:00,NA
15,01.01.2010,15:00:00,NA
16,01.01.2010,16:00:00,NA
17,01.01.2010,17:00:00,NA
18,01.01.2010,18:00:00,NA
19,01.01.2010,19:00:00,NA
20,01.01.2010,20:00:00,NA
21,01.01.2010,21:00:00,NA
22,01.01.2010,22:00:00,NA
23,01.01.2010,23:00:00,NA
24,02.01.2010,00:00:00,NA
25,02.01.2010,01:00:00,NA
26,02.01.2010,02:00:00,93.125
27,02.01.2010,03:00:00,93.025
28,02.01.2010,04:00:00,93.025
29,02.01.2010,05:00:00,NA
30,02.01.2010,06:00:00,93.025
31,02.01.2010,07:00:00,NA
32,02.01.2010,08:00:00,NA
33,02.01.2010,09:00:00,NA
34,02.01.2010,10:00:00,93.025
35,02.01.2010,11:00:00,93.025
36,02.01.2010,12:00:00,NA
37,02.01.2010,13:00:00,93.025
38,02.01.2010,14:00:00,93.025
39,02.01.2010,15:00:00,NA
40,02.01.2010,16:00:00,NA
41,02.01.2010,17:00:00,NA
42,02.01.2010,18:00:00,93.025
43,02.01.2010,19:00:00,NA
44,02.01.2010,20:00:00,NA
45,02.01.2010,21:00:00,NA
46,02.01.2010,22:00:00,NA
47,02.01.2010,23:00:00,NA
48,03.01.2010,00:00:00,NA
49,03.01.2010,01:00:00,NA
50,03.01.2010,02:00:00,93.125
51,03.01.2010,03:00:00,NA
52,03.01.2010,04:00:00,NA
53,03.01.2010,05:00:00,NA
54,03.01.2010,06:00:00,NA
55,03.01.2010,07:00:00,93.095
56,03.01.2010,08:00:00,93.095
57,03.01.2010,09:00:00,NA
58,03.01.2010,10:00:00,NA
59,03.01.2010,11:00:00,NA
60,03.01.2010,12:00:00,NA
61,03.01.2010,13:00:00,NA
62,03.01.2010,14:00:00,NA
63,03.01.2010,15:00:00,93.025
64,03.01.2010,16:00:00,93.025
65,03.01.2010,17:00:00,93.025
66,03.01.2010,18:00:00,93.025
67,03.01.2010,19:00:00,92.934
68,03.01.2010,20:00:00,92.944
69,03.01.2010,21:00:00,92.952
70,03.01.2010,22:00:00,92.985
71,03.01.2010,23:00:00,92.93
72,04.01.2010,00:00:00,92.745
73,04.01.2010,01:00:00,92.905
74,04.01.2010,02:00:00,92.975
75,04.01.2010,03:00:00,92.877
76,04.01.2010,04:00:00,92.7565
77,04.01.2010,05:00:00,92.745
78,04.01.2010,06:00:00,92.87
79,04.01.2010,07:00:00,93.05
80,04.01.2010,08:00:00,93.0415
81,04.01.2010,09:00:00,92.865
82,04.01.2010,10:00:00,92.8
83,04.01.2010,11:00:00,92.945
84,04.01.2010,12:00:00,92.8
85,04.01.2010,13:00:00,92.858
86,04.01.2010,14:00:00,92.645
87,04.01.2010,15:00:00,92.62
88,04.01.2010,16:00:00,92.36
89,04.01.2010,17:00:00,92.56
90,04.01.2010,18:00:00,92.6875
91,04.01.2010,19:00:00,92.61
92,04.01.2010,20:00:00,92.59
93,04.01.2010,21:00:00,92.585
94,04.01.2010,22:00:00,92.505
95,04.01.2010,23:00:00,92.415
96,05.01.2010,00:00:00,92.48
97,05.01.2010,01:00:00,92.365
98,05.01.2010,02:00:00,92.27
99,05.01.2010,03:00:00,92.2455
