#,Restaurant Name,Restaurant Type/Category,Type of Cuisine,Area,City,Country,Latitude,Longitude,Number of Ratings,Average Rating
1,Deccan Deewan Kitchen,Most Selling | Arabic Food | Desserts | Indian Hyderabad Biryani | Single meal | Beverages | Extras,"Indian, BBQ, Biryani",Abu Hamour,Doha,QATAR,25.240386,51.4838725,945,4.9
2,Eau De Rose,Most Selling | Sharing Boxes | All Day Breakfast | Soup | Salads | Easy Eating | Pasta And Risott...,"Breakfast, Desserts, International",Baaya,Doha,QATAR,25.25716,51.441616,440,4.6
3,Saf Restaurant,Most Selling | GATHERING BOXES | SOUPS AND SALADS | MIX APPETIZERS | MAIN COURSE | SWEETS | MINI ...,"Chicken, Burgers, Grills",Al Markhiya,Doha,QATAR,25.3381998,51.4813534,133,4.7
4,Seventy West Restaurant And Cafe,Most Selling | Italian Week - 30% Off on Selected Items | Breakfast to share | Breakfast | Salad...,"Pasta, Italian, Healthy",Pearl Qatar,Doha,QATAR,25.37808,51.543986,3781,5
5,Bright Horizon Trading,Most Selling | Recentl Arrived | Back to School | Girls Gift Items | NEW ARRIVAL MAY 2023 | Edu...,Toys,Umm Salal Mohammed,Doha,QATAR,25.40601199,51.39612029,76,4.4
6,Dalchini,Most Selling | Indian Tapas | Appetizers | Main Platters | Side Items | Desserts | Cocktails | Be...,"Indian, Curry, Biryani",West Bay,Doha,QATAR,25.3280574,51.5364817,395,4.9
7,The Eclair Kitchen,Most Selling | Arabic Sweets | Cake | Fatayer | Snacks And Tart | Cupcakes | Eid Special | Qatar ...,"Qatari, Arabic Sweets, Cakes",Al Duhail,Doha,QATAR,25.3534501,51.4609755,475,4.2
8,Dalah Raslan Cafe,Most Selling | Special Promo | Cake Toppers | Dallah | Sweets | Cakes | Salty Savory | Iced Coffe...,"Coffee, Cakes, Waffles",Al Khor,Doha,QATAR,25.6841495,51.5102859,248,4.9
9,Caribou Coffee,Most Selling | Classics | Signatures | Limited Time Menu | Sandwiches | Cakes | Brownies | Pastri...,"Cafe, Smoothies, Coffee",Umm Al Seneem,Doha,QATAR,25.2433335,51.46330694,501,4.7
10,Diet House,Most Selling | 30% off Best Sellers | Talabat Exclusives | Diet House Specials | Combos | Build Y...,"Healthy, Breakfast, Qatari",Muaither,Doha,QATAR,25.266648,51.430318,4937,4.7
11,MRA Bakery Sweets & Restaurant,Most Selling | Best seller 30% off | MRA Signature Dishes | South Indian Meals | Christmas Specia...,"Indian, Curry, Biryani",Al Doha Al Jadeeda,Doha,QATAR,25.279975,51.517671,5420,4.7
12,Desert Rose,Most Selling | Chirstmas Menu | Soups | Salads | Cold Mezze | Hot Mezze | From Our Stone Oven | M...,"Chicken, Salad",Al Jasra,Doha,QATAR,25.289874,51.533028,1223,4.6
13,The Ministry Of Coffee,Most Selling | RAMADAN 2023 MENU | Breakfast | Sandwich | Main Course | Panini And Wrap | Salads ...,"Coffee, Cafe, Desserts",Musheireb,Doha,QATAR,25.2873896,51.5250023,640,4.8
14,Hyderabadi Biryani House,Most Selling | Starters | Soups | Combo | Main Dishes | Mutton | Vegetable Plates | Chinese | Gra...,"Biryani, Indian",Madinat Khalifa North,Doha,QATAR,25.3112947,51.4842249,2089,4.5
15,Arabi Company,Water Purifiers,Specialty Store,Industrial Area,Doha,QATAR,25.2156239,51.431963,0,0
16,Tea Time,Most Selling | Pasta | New Items | Majlis Box | Summer Items | Plates | Tea Time Special | Fresh ...,"Fast Food, Smoothies, Sandwiches",Al Khor,Doha,QATAR,25.71240604,51.50665006,1250,4.7
17,Moka Caffe,Most Selling | Pizza | Pasta | Salad | Lemonades | Ice Teas | Mojitos | Crepes | Dessert | Cakes ...,"Coffee, Milkshakes, Desserts",Bani Hajar,Doha,QATAR,25.32712797,51.35097573,51,5
18,Extra Shot Roastery,Most Selling | Coffee | Signature Drink | Non Coffee | Pastries | Coffee Tools | Coffee Bundle | ...,"Coffee, Desserts, Beverages",Education City - Qatar Foundation,Doha,QATAR,25.31937643,51.44108982,73,4.5
19,Mr Juice,Most Selling | Bestsellers - 30% Off On Selected Items | New Flavor | Cakes and Desserts | Signat...,"Desserts, Healthy, Juices, Coffee, Ice cream",Al Wakrah,Doha,QATAR,25.1491,51.598,2008,4.5
20,KFC,Most Selling | Best Seller 30% | New | For One | For Sharing | Sandwiches | Kids Meals | Sides & ...,"Fried Chicken, Sandwiches, Fast Food",Industrial Area,Doha,QATAR,25.216882,51.434085,3705,3.3
