#,Methodology Version,API Titlte,Algorithm,ts,year,date,rda_level,id,name,abbr,logo,marketPrice,marketPrice-USD,rda_points,RDAMratio,weight,return_percentage,ti_value,ivrating_stars,market_capitalisation,market_capitalisation-USD
1,2.0,RDA Tradeable Index,RDA.SLICER_v4.2,1635944400000,2021,20211103,1.07887148459308,2682,Holo,HOT,https://assets.rdaindex.com/img/cryptoicons/32x32/2682.png,0.009636599504,0.013154510154660978,411.31704798750866,112.94626232452839,0.28426412039001175,-0.012918735288571237,0.44207168802349195,2.690230708709359,1.66612825941E9,2.2743604835169315E9
2,2.0,RDA Tradeable Index,RDA.SLICER_v4.2,1635944400000,2021,20211103,1.07887148459308,2566,Ontology,ONT,https://assets.rdaindex.com/img/cryptoicons/32x32/2566.png,0.754310389252,1.0296768762739388,81.10015884481636,56.200905918689735,0.14144692137040002,-0.01922232486192077,0.1236660765082867,1.0082708457116567,6.6020980914E8,9.012241958311143E8
3,2.0,RDA Tradeable Index,RDA.SLICER_v4.2,1635944400000,2021,20211103,1.07887148459308,2577,Ravencoin,RVN,https://assets.rdaindex.com/img/cryptoicons/32x32/2577.png,0.093027355119,0.12698766687006008,92.33133504680073,45.38329951790003,0.11422107692934816,-0.015484826002735597,0.12314111690134805,1.411735402328783,9.3080055115E8,1.2705960538242068E9
4,2.0,RDA Tradeable Index,RDA.SLICER_v4.2,1635944400000,2021,20211103,1.07887148459308,1168,Decred,DCR,https://assets.rdaindex.com/img/cryptoicons/32x32/1168.png,81.988503774843,111.91900265482197,92.13171761429939,38.189274799058495,0.09611509390098034,-0.0024700725593709283,0.05928380216407197,1.3718505323509966,1.10375158537E9,1.5066841194288585E9
5,2.0,RDA Tradeable Index,RDA.SLICER_v4.2,1635944400000,2021,20211103,1.07887148459308,1684,Qtum,QTUM,https://assets.rdaindex.com/img/cryptoicons/32x32/1684.png,11.342083018052,15.48259281440953,82.4184867293205,33.63867791562438,0.08466211268941878,-0.01159056675887804,0.09044478525621491,1.3145352047687002,1.12095789887E9,1.5301717226613142E9
6,2.0,RDA Tradeable Index,RDA.SLICER_v4.2,1635944400000,2021,20211103,1.07887148459308,2099,ICON,ICX,https://assets.rdaindex.com/img/cryptoicons/32x32/2099.png,1.619123154815,2.2101958240372914,79.30013850254903,33.29206113433155,0.08378974460552845,-0.015387649581196206,0.0731193350363216,0.9885666766747364,1.08977501398E9,1.4876052991249971E9
7,2.0,RDA Tradeable Index,RDA.SLICER_v4.2,1635944400000,2021,20211103,1.07887148459308,1274,Waves,WAVES,https://assets.rdaindex.com/img/cryptoicons/32x32/1274.png,18.790365706104,25.649925203194215,113.53439345049313,25.932425411171533,0.06526695038305283,-0.007881348832273427,0.032915634083370615,1.2096820328125903,2.00303201422E9,2.734253401340484E9
8,2.0,RDA Tradeable Index,RDA.SLICER_v4.2,1635944400000,2021,20211103,1.07887148459308,4847,Stacks,STX,https://assets.rdaindex.com/img/cryptoicons/32x32/4847.png,1.402193430257,1.9140743277188512,76.52724916423693,19.47917599148783,0.04902535697225998,-0.008222205701900576,0.05408625293681676,1.0513360969317054,1.7974180766E9,2.4535786021813593E9
9,2.0,RDA Tradeable Index,RDA.SLICER_v4.2,1635944400000,2021,20211103,1.07887148459308,1720,IOTA,MIOTA,https://assets.rdaindex.com/img/cryptoicons/32x32/1720.png,0.985638695549,1.3454532611886907,97.42322722337138,16.269602428325953,0.04094747473886881,-0.019867750441720622,0.037072978684280423,1.6644745961208633,2.73961260238E9,3.739728083841814E9
10,2.0,RDA Tradeable Index,RDA.SLICER_v4.2,1635944400000,2021,20211103,1.07887148459308,1376,Neo,NEO,https://assets.rdaindex.com/img/cryptoicons/32x32/1376.png,33.189874027698,45.30607863780659,81.85896501212468,15.996905200450131,0.04026114802013081,-0.011263454351136959,0.04306981499887712,1.0124444491985234,2.34117491495E9,3.195837824303477E9
