#,Date(dd.mm.yyyy),GMT-Time(HH:00:00),CloseMid
1,01.01.2012,01:00:00,1.55315
2,01.01.2012,02:00:00,NA
3,01.01.2012,03:00:00,1.5539
4,01.01.2012,04:00:00,NA
5,01.01.2012,05:00:00,NA
6,01.01.2012,06:00:00,NA
7,01.01.2012,07:00:00,NA
8,01.01.2012,08:00:00,1.55335
9,01.01.2012,09:00:00,NA
10,01.01.2012,10:00:00,NA
11,01.01.2012,11:00:00,NA
12,01.01.2012,12:00:00,NA
13,01.01.2012,13:00:00,NA
14,01.01.2012,14:00:00,NA
15,01.01.2012,15:00:00,NA
16,01.01.2012,16:00:00,NA
17,01.01.2012,17:00:00,NA
18,01.01.2012,18:00:00,1.55252
19,01.01.2012,19:00:00,1.55228
20,01.01.2012,20:00:00,1.55181
21,01.01.2012,21:00:00,1.5508
22,01.01.2012,22:00:00,1.5502
23,01.01.2012,23:00:00,1.551
24,02.01.2012,00:00:00,1.550715
25,02.01.2012,01:00:00,1.551395
26,02.01.2012,02:00:00,1.55123
27,02.01.2012,03:00:00,1.5511
28,02.01.2012,04:00:00,1.5514
29,02.01.2012,05:00:00,1.550865
30,02.01.2012,06:00:00,1.55124
31,02.01.2012,07:00:00,1.55135
32,02.01.2012,08:00:00,1.54965
33,02.01.2012,09:00:00,1.55
34,02.01.2012,10:00:00,1.552055
35,02.01.2012,11:00:00,1.55005
36,02.01.2012,12:00:00,1.5504
37,02.01.2012,13:00:00,1.5499
38,02.01.2012,14:00:00,1.5483
39,02.01.2012,15:00:00,1.548805
40,02.01.2012,16:00:00,1.547165
41,02.01.2012,17:00:00,1.54939
42,02.01.2012,18:00:00,1.55066
43,02.01.2012,19:00:00,1.551
44,02.01.2012,20:00:00,1.5503
45,02.01.2012,21:00:00,1.5501
46,02.01.2012,22:00:00,1.5513
47,02.01.2012,23:00:00,1.5513
48,03.01.2012,00:00:00,1.55191
49,03.01.2012,01:00:00,1.5511
50,03.01.2012,02:00:00,1.55292
51,03.01.2012,03:00:00,1.55345
52,03.01.2012,04:00:00,1.552865
53,03.01.2012,05:00:00,1.5539
54,03.01.2012,06:00:00,1.55473
55,03.01.2012,07:00:00,1.555395
56,03.01.2012,08:00:00,1.557745
57,03.01.2012,09:00:00,1.55719
58,03.01.2012,10:00:00,1.557655
59,03.01.2012,11:00:00,1.55843
60,03.01.2012,12:00:00,1.561015
61,03.01.2012,13:00:00,1.560655
62,03.01.2012,14:00:00,1.55815
63,03.01.2012,15:00:00,1.559535
64,03.01.2012,16:00:00,1.56365
65,03.01.2012,17:00:00,1.565385
66,03.01.2012,18:00:00,1.56482
67,03.01.2012,19:00:00,1.56645
68,03.01.2012,20:00:00,1.56501
69,03.01.2012,21:00:00,1.564755
70,03.01.2012,22:00:00,1.564885
71,03.01.2012,23:00:00,1.564535
72,04.01.2012,00:00:00,1.564505
73,04.01.2012,01:00:00,1.56395
74,04.01.2012,02:00:00,1.56438
75,04.01.2012,03:00:00,1.563135
76,04.01.2012,04:00:00,1.56431
77,04.01.2012,05:00:00,1.5643
78,04.01.2012,06:00:00,1.56372
79,04.01.2012,07:00:00,1.564625
80,04.01.2012,08:00:00,1.564475
81,04.01.2012,09:00:00,1.56305
82,04.01.2012,10:00:00,1.565295
83,04.01.2012,11:00:00,1.56338
84,04.01.2012,12:00:00,1.559705
85,04.01.2012,13:00:00,1.560315
86,04.01.2012,14:00:00,1.56008
87,04.01.2012,15:00:00,1.56327
88,04.01.2012,16:00:00,1.560845
89,04.01.2012,17:00:00,1.563605
90,04.01.2012,18:00:00,1.56304
91,04.01.2012,19:00:00,1.5621
92,04.01.2012,20:00:00,1.561125
93,04.01.2012,21:00:00,1.56204
94,04.01.2012,22:00:00,1.562065
95,04.01.2012,23:00:00,1.56103
96,05.01.2012,00:00:00,1.56098
97,05.01.2012,01:00:00,1.561075
98,05.01.2012,02:00:00,1.560375
99,05.01.2012,03:00:00,1.5609
