#,Date(dd.mm.yyyy),GMT-Time(HH:00:00),CloseMid
1,01.01.2002,01:00:00,0.88975
2,01.01.2002,02:00:00,NA
3,01.01.2002,03:00:00,NA
4,01.01.2002,04:00:00,0.88975
5,01.01.2002,05:00:00,0.88975
6,01.01.2002,06:00:00,0.88975
7,01.01.2002,07:00:00,0.88945
8,01.01.2002,08:00:00,0.88975
9,01.01.2002,09:00:00,NA
10,01.01.2002,10:00:00,NA
11,01.01.2002,11:00:00,NA
12,01.01.2002,12:00:00,NA
13,01.01.2002,13:00:00,NA
14,01.01.2002,14:00:00,NA
15,01.01.2002,15:00:00,NA
16,01.01.2002,16:00:00,NA
17,01.01.2002,17:00:00,0.8913
18,01.01.2002,18:00:00,0.88985
19,01.01.2002,19:00:00,0.88975
20,01.01.2002,20:00:00,0.88965
21,01.01.2002,21:00:00,0.8895
22,01.01.2002,22:00:00,0.8896
23,01.01.2002,23:00:00,0.88955
24,02.01.2002,00:00:00,0.8892
25,02.01.2002,01:00:00,0.88855
26,02.01.2002,02:00:00,0.89075
27,02.01.2002,03:00:00,0.89085
28,02.01.2002,04:00:00,0.89355
29,02.01.2002,05:00:00,0.8935
30,02.01.2002,06:00:00,0.89285
31,02.01.2002,07:00:00,0.8934
32,02.01.2002,08:00:00,0.89395
33,02.01.2002,09:00:00,0.89635
34,02.01.2002,10:00:00,0.90025
35,02.01.2002,11:00:00,0.8997
36,02.01.2002,12:00:00,0.9011
37,02.01.2002,13:00:00,0.9037
38,02.01.2002,14:00:00,0.9062
39,02.01.2002,15:00:00,0.90395
40,02.01.2002,16:00:00,0.9042
41,02.01.2002,17:00:00,0.90345
42,02.01.2002,18:00:00,0.9038
43,02.01.2002,19:00:00,0.9035
44,02.01.2002,20:00:00,0.9039
45,02.01.2002,21:00:00,0.90375
46,02.01.2002,22:00:00,0.9039
47,02.01.2002,23:00:00,0.9033
48,03.01.2002,00:00:00,0.9041
49,03.01.2002,01:00:00,0.90425
50,03.01.2002,02:00:00,0.90475
51,03.01.2002,03:00:00,0.90425
52,03.01.2002,04:00:00,0.90455
53,03.01.2002,05:00:00,0.9056
54,03.01.2002,06:00:00,0.90535
55,03.01.2002,07:00:00,0.9039
56,03.01.2002,08:00:00,0.9018
57,03.01.2002,09:00:00,0.9014
58,03.01.2002,10:00:00,0.9019
59,03.01.2002,11:00:00,0.9039
60,03.01.2002,12:00:00,0.9038
61,03.01.2002,13:00:00,0.9039
62,03.01.2002,14:00:00,0.9039
63,03.01.2002,15:00:00,0.9007
64,03.01.2002,16:00:00,0.9002
65,03.01.2002,17:00:00,0.8994
66,03.01.2002,18:00:00,0.89855
67,03.01.2002,19:00:00,0.8988
68,03.01.2002,20:00:00,0.9
69,03.01.2002,21:00:00,0.89955
70,03.01.2002,22:00:00,0.8987
71,03.01.2002,23:00:00,0.89915
72,04.01.2002,00:00:00,0.89935
73,04.01.2002,01:00:00,0.8986
74,04.01.2002,02:00:00,0.89825
75,04.01.2002,03:00:00,0.8987
76,04.01.2002,04:00:00,0.8988
77,04.01.2002,05:00:00,0.8992
78,04.01.2002,06:00:00,0.8997
79,04.01.2002,07:00:00,0.8993
80,04.01.2002,08:00:00,0.8992
81,04.01.2002,09:00:00,0.8976
82,04.01.2002,10:00:00,0.8977
83,04.01.2002,11:00:00,0.8956
84,04.01.2002,12:00:00,0.89545
85,04.01.2002,13:00:00,0.8963
86,04.01.2002,14:00:00,0.89625
87,04.01.2002,15:00:00,0.8966
88,04.01.2002,16:00:00,0.89475
89,04.01.2002,17:00:00,0.8949
90,04.01.2002,18:00:00,0.89505
91,04.01.2002,19:00:00,0.8956
92,04.01.2002,20:00:00,0.8953
93,04.01.2002,21:00:00,0.8947
94,04.01.2002,22:00:00,0.8944
95,04.01.2002,23:00:00,0.8948
96,05.01.2002,00:00:00,0.8958
97,05.01.2002,01:00:00,0.89465
98,05.01.2002,02:00:00,0.89465
99,05.01.2002,03:00:00,0.89465
