#,Store_ID,Store_Name,Metro_City,Invoice_ID,Bill_date,Date,Month,Week,Hour,Barcode,Local_Item_Code,Item_Description,Centralized_Description,Brand,Manufacturer_Name,Category,Sub_Category,Quantity,Selling_Price,Total_Amount,MRP,Bill_Amount,Loose_Item_Flag,is_credit,Pincode,State,Zone,Market_Cap,Payment_Mode,Payment_Type
54,10765,LOTUS SUPER STORE,Bharuch,10765-1118003836,01/01/2019 01:13:32 PM,01/01/2019,JAN19,W0,13,8902618000934,,GOOD HOME STAINLESS STEEL SCRUBBER,GOOD HOME STAINLESS STEEL SCRUBBER,GOOD HOME,TTK HEALTHCARE LTD,SCRUBBER,,2,25,50,25,4253,NO,YES,392001,Gujarat,West,Surat,CASH,CREDIT
55,10765,LOTUS SUPER STORE,Bharuch,10765-1118003836,01/01/2019 01:13:32 PM,01/01/2019,JAN19,W0,13,8901361302456,,SCOTCH BRITE SPONGE WIPE SMALL 200 MM X 175 MM,SCOTCH BRITE SCRUB SPONGE LARGE 1 PC,SCOTCH BRITE,3M INDIA LTD,KITCHEN APPLIANCES,SCRUBBER,2,30,60,30,4253,NO,YES,392001,Gujarat,West,Surat,CASH,CREDIT
56,10765,LOTUS SUPER STORE,Bharuch,10765-1118003836,01/01/2019 01:13:32 PM,01/01/2019,JAN19,W0,13,8907459000235,,KOPIKO CAPPUCCINO COFFEE CANDY,KOPIKO CAPPUCCINO CHOCOLATES 400 GM,KOPIKO,?INBISCO INDIA PVT LTD,CANDY,HARD CANDY,1,115,115,115,4253,NO,YES,392001,Gujarat,West,Surat,CASH,CREDIT
57,10765,LOTUS SUPER STORE,Bharuch,10765-1118003836,01/01/2019 01:13:32 PM,01/01/2019,JAN19,W0,13,8901719272844,,PARLE LONDONDERRY MILK&CARAMEL CHOC 277GMS,PARLE SWEETS LONDON DIARY 396G,PARLE,PARLE PRODUCTS PVT LTD,CANDY,HARD CANDY,1,50,50,50,4253,NO,YES,392001,Gujarat,West,Surat,CASH,CREDIT
58,10765,LOTUS SUPER STORE,Bharuch,10765-1118003836,01/01/2019 01:13:32 PM,01/01/2019,JAN19,W0,13,8901052087617,,TETLEY GREEN TEA GINGER MINT LEMON 100S. REL.,TETLEY GREEN TEA IMMUNE WITH ADDED VITAMIN C GINGER MINT AND LEMON 100 TEA BAGS,TETLEY,TATA GLOBAL BERVERAGES LTD,TEA BAG,GREEN TEA,1,450,450,450,4253,NO,YES,392001,Gujarat,West,Surat,CASH,CREDIT
59,10765,LOTUS SUPER STORE,Bharuch,10765-1118003836,01/01/2019 01:13:32 PM,01/01/2019,JAN19,W0,13,89006702,,NESTLE NESCAFE CLASSIC COFFEE POWDER (JAR ) 0.100GM,NESCAFE CLASSIC DAWN JAR 100G,NESCAFE CLASSIC,NESTLE INDIA LTD,INSTANT COFFEE,,4,265,1060,265,4253,NO,YES,392001,Gujarat,West,Surat,CASH,CREDIT
60,10765,LOTUS SUPER STORE,Bharuch,10765-1118003836,01/01/2019 01:13:32 PM,01/01/2019,JAN19,W0,13,123425810697,,GREEN ELAICHI 100GM.,,,,,,1,280,280,280,4253,NO,YES,392001,Gujarat,West,Surat,CASH,CREDIT
61,10765,LOTUS SUPER STORE,Bharuch,10765-1118003836,01/01/2019 01:13:32 PM,01/01/2019,JAN19,W0,13,8901052087624,,TATA TETLEY GREEN LEMON HONEY TEABAGS 100BG.,TETLEY GREEN TEA IMMUNE WITH ADDED VITAMIN C LEMON AND HONEY 100 TEA BAGS,TETLEY,TATA GLOBAL BERVERAGES LTD,TEA BAG,,1,450,450,450,4253,NO,YES,392001,Gujarat,West,Surat,CASH,CREDIT
62,10765,LOTUS SUPER STORE,Bharuch,10765-1118003837,01/01/2019 01:13:54 PM,01/01/2019,JAN19,W0,13,8901396324584,,DETTOL OG HAND WASH PUMP 200ML+DETTOL HAND WASH POUCH 175ML,WHITE PEAS 250,,,PULSES,WHITE PEAS,2,99,198,99,2693,NO,YES,392001,Gujarat,West,Surat,CASH,CREDIT
63,10765,LOTUS SUPER STORE,Bharuch,10765-1118003837,01/01/2019 01:13:54 PM,01/01/2019,JAN19,W0,13,8906018560074,,SPYRAN [TEA] 100 GM PLPCH [BLND],SPYRAN TEA MASALA 100 GM PLPCH [BLND],SPYRAN,SHREE RANCHHODRAY MASALA MARKETING,TEA POWDER,LEAF,3,85,255,85,2693,NO,YES,392001,Gujarat,West,Surat,CASH,CREDIT
