#,name,address,type,zipCode,stories,yearBuilt,avgRentalPrice,avgRentalPricePerSqrtFt,amenities,neighborhood,googleMapsUrl,updateDate
1,75 Fairview Avenue,[redacted],Condo,07304,4,1928,1983,22,,West Side,https://www.google.com/maps/place/75+FAIRVIEW+AVENUE%2C+Jersey+City%2C+NJ+07304,2022-11-13T22:24:24.232Z
2,Hudson Club,[redacted],Condo,07093,,,3047,36,"Doorman, Elevator",West New York,https://www.google.com/maps/place/24+AVENUE%2C+WEST+NEW+YORK%2C+NJ+07093,2022-11-19T10:39:33.304Z
3,Mandalay on the Hudson,[redacted],Condo,07302,,2000,3134,42,"Doorman, Elevator, Pets Allowed, Private Outdoor Space, Bike Room, Children's Playroom, Community...",Newport,https://www.google.com/maps/place/20+2+STREET%2C+JERSEY+CITY%2C+NJ+07302,2022-11-19T10:39:39.170Z
4,415 Washington Boulevard,[redacted],Other type,07310,,,3104,48,,Newport,https://www.google.com/maps/place/415+WASHINGTON+BOULEVARD%2C+JERSEY+CITY%2C+NJ+07310,2022-11-19T10:39:41.378Z
5,77 Hudson,[redacted],Condo,07302,48,,3779,49,"Doorman, Elevator, Community Recreation Facilities, Gym, Hot Tub, Parking Available, Swimming Pool",Paulus Hook,https://www.google.com/maps/place/77+HUDSON+STREET%2C+JERSEY+CITY%2C+NJ+07302,2022-11-19T10:39:41.861Z
6,800 Monroe,[redacted],Condo,07030,,,0,0,,Hoboken,https://www.google.com/maps/place/800+MONROE+STREET%2C+HOBOKEN%2C+NJ+07030,2022-11-19T10:39:42.785Z
7,Canco Lofts,[redacted],Condo,07306,,,2606,30,"Doorman, Elevator, Gym, Virtual Doorman",West Side,https://www.google.com/maps/place/50+DEY+STREET%2C+JERSEY+CITY%2C+NJ+07306,2022-11-19T10:39:50.460Z
8,Juliana,[redacted],Rental Building,07030,3,2007,3199,42,"Elevator, Pets Allowed, Private Outdoor Space, Children's Playroom, Concierge, Garage Parking, Gy...",Hoboken,https://www.google.com/maps/place/600+JACKSON+STREET%2C+HOBOKEN%2C+NJ+07030,2022-11-19T10:39:51.630Z
9,The Oakman,[redacted],Condo,07302,14,2016,3770,50,"Doorman, Elevator, Pets Allowed, Garage Parking, Gym, Parking Available, Smoke-free, Swimming Poo...",Waterfront,https://www.google.com/maps/place/160+1+STREET%2C+JERSEY+CITY%2C+NJ+07302,2022-11-19T10:39:54.245Z
10,The Beacon,[redacted],Condo,07304,,,3443,49,"Doorman, Elevator, Pets Allowed, Private Outdoor Space, Bike Room, Children's Playroom, Community...",Bergen/Lafayette,https://www.google.com/maps/place/4+BEACON+WAY%2C+JERSEY+CITY%2C+NJ+07304,2022-11-19T10:39:57.189Z
11,Crescent Court,[redacted],Other type,07302,,,0,0,Parking Available,Historic Downtown,https://www.google.com/maps/place/457+2+STREET%2C+JERSEY+CITY%2C+NJ+07302,2022-11-19T10:39:59.449Z
12,Gulls Cove,[redacted],Other type,07302,,2008,2860,41,"Doorman, Elevator",Paulus Hook,https://www.google.com/maps/place/201-205+LUIS+MUNOZ+MARIN+BOULEVARD%2C+JERSEY+CITY%2C+NJ+07302,2022-11-19T10:40:00.654Z
13,Hudson Tea Condo,[redacted],Condo,07030,,,3464,44,"Doorman, Elevator, Children's Playroom, Community Recreation Facilities, Concierge, Gym, Parking ...",Hoboken,https://www.google.com/maps/place/1500+WASHINGTON+STREET%2C+HOBOKEN%2C+NJ+07030,2022-11-19T10:40:02.215Z
14,618 Jefferson Street,[redacted],Condo,07030,,2006,3500,31,,Hoboken,https://www.google.com/maps/place/618+JEFFERSON+STREET%2C+HOBOKEN%2C+NJ+07030,2022-11-19T10:40:03.602Z
15,150 Bay Street,[redacted],Other type,07302,,,3500,0,Gym,Waterfront,https://www.google.com/maps/place/150+BAY+STREET%2C+JERSEY+CITY%2C+NJ+07302,2022-11-19T10:40:04.569Z
16,Lenox,[redacted],Rental Building,07302,15,2017,3704,52,"Doorman, Elevator, Pets Allowed, Private Outdoor Space, Bike Room, Children's Playroom, Cold Stor...",Paulus Hook,https://www.google.com/maps/place/207+VAN+VORST+STREET%2C+JERSEY+CITY%2C+New+Jersey+07302,2022-11-19T10:40:05.174Z
17,99 Montgomery Street,[redacted],Condo,07302,,,3040,40,Parking Available,Paulus Hook,https://www.google.com/maps/place/99+MONTGOMERY+STREET%2C+JERSEY+CITY%2C+NJ+07302,2022-11-19T10:40:07.654Z
18,88 Brunswick Street,[redacted],Condo,07302,,,1780,43,,Historic Downtown,https://www.google.com/maps/place/88+BRUNSWICK+STREET%2C+Jersey+City%2C+NJ+07302,2022-11-19T10:40:10.280Z
19,89 W,[redacted],Other type,07030,,,4533,36,,Hoboken,https://www.google.com/maps/place/89+WILLOW+AVENUE%2C+HOBOKEN%2C+NJ+07030,2022-11-19T10:40:15.931Z
20,Liberty Harbor North,[redacted],Other type,07302,,,3237,49,,Historic Downtown,https://www.google.com/maps/place/333+GRAND+STREET%2C+JERSEY+CITY%2C+NJ+07302,2022-11-19T10:40:15.982Z
