#,Date(dd.mm.yyyy),GMT-Time(HH:00:00),CloseMid
1,01.01.2015,01:00:00,NA
2,01.01.2015,02:00:00,1.557795
3,01.01.2015,03:00:00,NA
4,01.01.2015,04:00:00,NA
5,01.01.2015,05:00:00,NA
6,01.01.2015,06:00:00,NA
7,01.01.2015,07:00:00,1.5577
8,01.01.2015,08:00:00,1.5551
9,01.01.2015,09:00:00,NA
10,01.01.2015,10:00:00,NA
11,01.01.2015,11:00:00,1.55774
12,01.01.2015,12:00:00,NA
13,01.01.2015,13:00:00,NA
14,01.01.2015,14:00:00,NA
15,01.01.2015,15:00:00,NA
16,01.01.2015,16:00:00,NA
17,01.01.2015,17:00:00,NA
18,01.01.2015,18:00:00,1.557695
19,01.01.2015,19:00:00,1.557795
20,01.01.2015,20:00:00,1.5582
21,01.01.2015,21:00:00,1.558095
22,01.01.2015,22:00:00,1.5584
23,01.01.2015,23:00:00,1.558115
24,02.01.2015,00:00:00,1.55793
25,02.01.2015,01:00:00,1.556415
26,02.01.2015,02:00:00,1.55535
27,02.01.2015,03:00:00,1.55459
28,02.01.2015,04:00:00,1.555555
29,02.01.2015,05:00:00,1.554485
30,02.01.2015,06:00:00,1.55469
31,02.01.2015,07:00:00,1.554505
32,02.01.2015,08:00:00,1.55394
33,02.01.2015,09:00:00,1.5531
34,02.01.2015,10:00:00,1.54798
35,02.01.2015,11:00:00,1.544495
36,02.01.2015,12:00:00,1.543865
37,02.01.2015,13:00:00,1.54265
38,02.01.2015,14:00:00,1.5417
39,02.01.2015,15:00:00,1.53962
40,02.01.2015,16:00:00,1.538835
41,02.01.2015,17:00:00,1.536085
42,02.01.2015,18:00:00,1.535875
43,02.01.2015,19:00:00,1.535295
44,02.01.2015,20:00:00,1.53356
45,02.01.2015,21:00:00,1.53346
46,02.01.2015,22:00:00,1.5327
47,02.01.2015,23:00:00,1.53275
48,03.01.2015,00:00:00,1.53275
49,03.01.2015,01:00:00,1.53275
50,03.01.2015,02:00:00,NA
51,03.01.2015,03:00:00,NA
52,03.01.2015,04:00:00,NA
53,03.01.2015,05:00:00,NA
54,03.01.2015,06:00:00,1.53278
55,03.01.2015,07:00:00,NA
56,03.01.2015,08:00:00,NA
57,03.01.2015,09:00:00,NA
58,03.01.2015,10:00:00,NA
59,03.01.2015,11:00:00,NA
60,03.01.2015,12:00:00,NA
61,03.01.2015,13:00:00,NA
62,03.01.2015,14:00:00,NA
63,03.01.2015,15:00:00,NA
64,03.01.2015,16:00:00,NA
65,03.01.2015,17:00:00,NA
66,03.01.2015,18:00:00,NA
67,03.01.2015,19:00:00,NA
68,03.01.2015,20:00:00,1.53278
69,03.01.2015,21:00:00,NA
70,03.01.2015,22:00:00,NA
71,03.01.2015,23:00:00,NA
72,04.01.2015,00:00:00,NA
73,04.01.2015,01:00:00,NA
74,04.01.2015,02:00:00,NA
75,04.01.2015,03:00:00,NA
76,04.01.2015,04:00:00,NA
77,04.01.2015,05:00:00,NA
78,04.01.2015,06:00:00,NA
79,04.01.2015,07:00:00,NA
80,04.01.2015,08:00:00,NA
81,04.01.2015,09:00:00,NA
82,04.01.2015,10:00:00,NA
83,04.01.2015,11:00:00,NA
84,04.01.2015,12:00:00,NA
85,04.01.2015,13:00:00,NA
86,04.01.2015,14:00:00,NA
87,04.01.2015,15:00:00,NA
88,04.01.2015,16:00:00,NA
89,04.01.2015,17:00:00,NA
90,04.01.2015,18:00:00,1.53278
91,04.01.2015,19:00:00,1.53302
92,04.01.2015,20:00:00,1.53305
93,04.01.2015,21:00:00,1.532725
94,04.01.2015,22:00:00,1.53058
95,04.01.2015,23:00:00,1.5271
96,05.01.2015,00:00:00,1.528485
97,05.01.2015,01:00:00,1.53094
98,05.01.2015,02:00:00,1.530295
99,05.01.2015,03:00:00,1.529145
