#,AWIS_Station_ID,date,Max_Temp,Min_Temp,MaxST,MinST,Precip,Evap,PEvap,Solar_rad,Sunshine
1,WI745,01/01/2008,86.7,76.1,999999,999999,0.78,999999,999999,999999,999999
2,WI745,01/02/2008,83.8,76.1,999999,999999,0.59,999999,999999,999999,999999
3,WI745,01/03/2008,80.2,76.6,999999,999999,0.49,999999,999999,999999,999999
4,WI745,01/04/2008,90.7,74.5,999999,999999,0.73,999999,999999,999999,999999
5,WI745,01/05/2008,87.8,74.8,999999,999999,0.40,999999,999999,999999,999999
6,WI745,01/06/2008,87.1,75.6,999999,999999,0.00,999999,999999,999999,999999
7,WI745,01/07/2008,87.4,79.5,999999,999999,0.20,999999,999999,999999,999999
8,WI745,01/08/2008,88.9,77.5,999999,999999,0.00,999999,999999,999999,999999
9,WI745,01/09/2008,92.8,78.1,999999,999999,0.00,999999,999999,999999,999999
10,WI745,01/10/2008,91.4,79.2,999999,999999,0.00,999999,999999,999999,999999
11,WI745,01/11/2008,91,78.4,999999,999999,0.00,999999,999999,999999,999999
12,WI745,01/12/2008,90,78.8,999999,999999,0.00,999999,999999,999999,999999
13,WI745,01/13/2008,94.6,78.8,999999,999999,0.00,999999,999999,999999,999999
14,WI745,01/14/2008,90.3,80.6,999999,999999,0.00,999999,999999,999999,999999
15,WI745,01/15/2008,88.5,78.4,999999,999999,0.08,999999,999999,999999,999999
16,WI745,01/16/2008,87.1,78.4,999999,999999,0.01,999999,999999,999999,999999
17,WI745,01/17/2008,91.8,78.4,999999,999999,0.00,999999,999999,999999,999999
18,WI745,01/18/2008,90,79.3,999999,999999,0.00,999999,999999,999999,999999
19,WI745,01/19/2008,90.7,79.5,999999,999999,0.00,999999,999999,999999,999999
20,WI745,01/20/2008,88.5,79.3,999999,999999,0.00,999999,999999,999999,999999
21,WI745,01/21/2008,88.9,78.4,999999,999999,0.00,999999,999999,999999,999999
22,WI745,01/22/2008,90,80.2,999999,999999,0.00,999999,999999,999999,999999
23,WI745,01/23/2008,82.4,78.4,999999,999999,0.00,999999,999999,999999,999999
24,WI745,01/24/2008,90,78,999999,999999,0.13,999999,999999,999999,999999
25,WI745,01/25/2008,92.5,86,999999,999999,0.00,999999,999999,999999,999999
