#,Restaurant Name,Restaurant Type/Category,Type of Cuisine,Area,City,Country,Latitude,Longitude,Number of Ratings,Average Rating
1,Shake Shack,Most Selling | 25% OFF on ShackBoxes | What's new! | Chicken Bites | Chicken Burger | Beef Burger...,"Burgers, American",Daiya,Kuwait City (Capital),KUWAIT,29.3532778,47.9793611,727,4.5
2,Domino's Pizza,Most Selling | New Sizzling Wrap | Super Meals | Pizzas | Chicken Appetisers Corner | Appetizers ...,"Pizza, Fast Food, Italian",Abu Hasaniya,Mubarak Al-kabir,KUWAIT,29.14403,48.128488,3071,4.2
3,Shake Shack,Most Selling | Shack Boxes | What's new! | Chicken Bites | Beef Burgers | Chicken Burgers | Veggi...,"Burgers, American, Chicken",Fnaitess,Mubarak Al-kabir,KUWAIT,29.21668035,48.10331508,4347,4.3
4,Domino's Pizza,Most Selling | New Sizzling Wrap | Super Meals | Pizzas | Chicken Appetisers Corner | Appetizers ...,"Pizza, Fast Food, Italian",Al-Qusour,Mubarak Al-kabir,KUWAIT,29.21499,48.07424,8083,4.6
5,Pizza Express,"Most Selling | Offers | Starters | Salads | Medium Pizzas | Large Pizzas | Pasta, Alforno & Risot...","Pizza, American, Italian",Ardhiya,Farwaniya,KUWAIT,29.270384,47.923309,1459,4.5
6,Domino's Pizza,Most Selling | New Sizzling Wrap | Super Meals | Pizzas | Chicken Appetisers Corner | Appetizers ...,"Pizza, , Italian",Farwaniya,Farwaniya,KUWAIT,29.27197,47.9673593,209,4
7,Domino's Pizza,Most Selling | New Sizzling Wrap | Super Meals | Pizzas | Chicken Appetisers Corner | Appetizers ...,"Pizza, Fast Food, Italian",Sharq,Kuwait City (Capital),KUWAIT,29.384722,47.990556,1378,3.7
8,Domino's Pizza,Most Selling | New Sizzling Wrap | Super Meals | Pizzas | Chicken Appetisers Corner | Appetizers ...,"Pizza, Fast Food, Italian",Egaila,Ahmadi,KUWAIT,29.16832,48.098376,2367,3
9,Domino's Pizza,Most Selling | New Sizzling Wrap | Super Meals | Pizzas | Chicken Appetisers Corner | Appetizers ...,"Pizza, Fast Food, Italian",Mahboula,Ahmadi,KUWAIT,29.1490226,48.1178624,771,3.4
10,Domino's Pizza,Most Selling | New Sizzling Wrap | Super Meals | Pizzas | Chicken Appetisers Corner | Appetizers ...,"Pizza, , Italian",Jahra - Sulaibiya,Farwaniya,KUWAIT,29.271142,47.84271486,793,4.3
11,Kine,Most Selling | Appetizers | Sandwish | Sauce | Drinks,"Burgers, Chicken, Fried Chicken",Mahboula,Ahmadi,KUWAIT,29.14947506,48.12726993,1040,4
12,Adani Restaurant,Most Selling | Chicken Dishes | Meat Platters | Seafood Dishes | Adani grilled | Diwaniyah Offers...,"Kuwaiti, Machbouss, Arabic",Al-Qurain,Ahmadi,KUWAIT,29.199993,48.047134,915,4.1
13,Domino's Pizza,Most Selling | New Sizzling Wrap | Super Meals | Pizzas | Chicken Appetisers Corner | Appetizers ...,"Pizza, Fast Food, Italian",Jeleeb Al-Shuyoukh,Farwaniya,KUWAIT,29.25523,47.931482,2359,3.3
14,Domino's Pizza,Most Selling | New Sizzling Wrap | Super Meals | Pizzas | Chicken Appetisers Corner | Appetizers ...,"Pizza, , Italian",Khaitan,Farwaniya,KUWAIT,29.279863,47.974106,329,4.1
15,MATBAKHI,Most Selling | Salad | Entrées | Mezze | From The Oven | Gatherings | Desserts | Beverages | Add Ons,"Arabic, International, Bakery",Abu Ftaira,Ahmadi,KUWAIT,29.201145,48.051507,452,4.2
16,Pattie Pattie,Most Selling | Combos & Offers | Cheaper By The Dozen | Sliders | Sides | Sauces | Drinks,"American, Sliders, Fast Food, Burgers",Adailiya,Kuwait City (Capital),KUWAIT,29.3312296,47.9874129,604,4.8
17,Bartone,Most Selling | Protein Shakes | Classic Ice creams | Bartone Signature Ice Creams | Iced Tea | B...,"Coffee, Cafe",Sharq,Kuwait City (Capital),KUWAIT,29.37904883,47.99325962,1608,4.2
18,Marble Dates,Most Selling | Dates | Sweets,"Desserts, Cakes",Shuwaikh Industrial 1,Kuwait City (Capital),KUWAIT,29.331094,47.937157,75,4.8
19,BURGER CO.,Most Selling | Box of Sliders | Ready to Cook | Burgers | Sliders | Meals | Sides & More | Kids M...,"Burgers, American, Chicken",Khairan,Ahmadi,KUWAIT,28.653608,48.387426,278,4
20,Cookie Dough,Most Selling | Gathering | Promotions | COOKIES | MINI COOKIES | EDIBLE COOKIE DOUGH TRUFFLES | F...,"Desserts, Chocolate , Cakes",Sharq,Kuwait City (Capital),KUWAIT,29.3752,47.9783,828,4.1
