#,filing_url,filing_uuid,filing_year,client_uuid,client_name,ticker_symbol,client_ticker_indicator,client_government_entity,affiliated_organizations_indicator,affiliated_organizations,affiliated_organizations_count,registrant_id,registrant_name,lobbyist_ids,lobbyist_names,lobbyist_count,lobbyist_more_info,lobbyist_conviction_disclosures,lobbyist_conviction_disclosures_count,agencies,agency_count,general_issue_codes,general_issues,general_issue_count,specific_issues,bills_lobbied_on,lobbying_activities_more_info,foreign_entity_indicator,foreign_entities,foreign_entity_issues,foreign_entity_count,dollar_amount,filing_type,termination_date,date_time_posted,date_posted
1,https://lda.senate.gov/filings/public/filing/21323595-1675-4e70-a62e-0e926e4046f4/print/,21323595-1675-4e70-a62e-0e926e4046f4,1999,66cae85dcdb396ee377d548d075548c64b577b1325a69c27c6,"Apple, Inc",AAPL,Yes,No,No,,,48782,"Jefferson Business Consulting, Llc","24972, 36162","Kathy Conrad, Robert J Thompson",2.0,"[{'lobbyist_id': '24972', 'lobbyist_name': 'Kathy Conrad', 'previous_positions': ''}, {'lobbyist_...",,,,,CPI,Computer Industry,1.0,,,"[{'agency_ids': '', 'lobbyist_ids': '24972, 36162', 'specific_issue': '', 'general_issue_code': '...",No,,,,,Registration,,1999-02-11 21:00:00.000,1999-02-11
2,https://lda.senate.gov/filings/public/filing/88a002b9-081f-44c3-8678-0635b9e35a86/print/,88a002b9-081f-44c3-8678-0635b9e35a86,1999,66cae85dcdb396ee377d548d075548c64b577b1325a69c27c6,"Apple, Inc",AAPL,Yes,No,No,,,48782,"Jefferson Business Consulting, Llc","24972, 36162","Kathy Conrad, Robert J Thompson",2.0,"[{'lobbyist_id': '24972', 'lobbyist_name': 'Kathy Conrad', 'previous_positions': ''}, {'lobbyist_...",,,Senate,1.0,CPI,Computer Industry,1.0,,,"[{'agency_ids': '1', 'lobbyist_ids': '24972, 36162', 'specific_issue': '', 'general_issue_code': ...",No,,,,,Mid-Year Report,,1999-08-12 21:00:00.000,1999-08-12
3,https://lda.senate.gov/filings/public/filing/1d937c0d-a39a-4685-9fc3-13e8e2f8b940/print/,1d937c0d-a39a-4685-9fc3-13e8e2f8b940,1999,66cae85dcdb396ee377d548d075548c64b577b1325a69c27c6,Apple Inc,AAPL,Yes,No,No,,,4152,Apple Inc.,"40570, 40611, 40798, 42720, 42723, 9650","James M Burger, William P Fasig, Lynn C Silver, Joshua Tenuta, Catherine Foster, Michael Ede",6.0,"[{'lobbyist_id': '40570', 'lobbyist_name': 'James M Burger', 'previous_positions': ''}, {'lobbyis...",,,"Senate, House of Representatives, White House Office, Department of Commerce (DOC), U.S. Trade Re...",5.0,"CPI, CPT, EDU, IMM, TAX, TEC, TRD","Computer Industry, Education, Immigration, Copyright/Patent/Trademark, Telecommunications, Taxati...",7.0,,,"[{'agency_ids': '1, 12, 2, 22, 24', 'lobbyist_ids': '40570, 40611, 40798, 42720, 42723, 9650', 's...",No,,,,80000.0,Mid-Year Report,,1999-08-15 21:00:00.000,1999-08-15
4,https://lda.senate.gov/filings/public/filing/e5ac2715-fc74-46f6-9834-d812b044707b/print/,e5ac2715-fc74-46f6-9834-d812b044707b,1999,66cae85dcdb396ee377d548d075548c64b577b1325a69c27c6,Apple Inc,AAPL,Yes,No,No,,,4152,Apple Inc.,"40570, 40611, 40798, 42720, 42723, 9650","James M Burger, William P Fasig, Lynn C Silver, Joshua Tenuta, Catherine Foster, Michael Ede",6.0,"[{'lobbyist_id': '40570', 'lobbyist_name': 'James M Burger', 'previous_positions': ''}, {'lobbyis...",,,,,"CPI, CPT, EDU, IMM, TAX, TEC, TRD","Trade (domestic/foreign), Taxation/Internal Revenue Code, Telecommunications, Copyright/Patent/Tr...",7.0,,,"[{'agency_ids': '', 'lobbyist_ids': '40570, 40611, 40798, 42720, 42723, 9650', 'specific_issue': ...",No,,,,,Registration - Amendment,,1999-08-15 21:00:00.000,1999-08-15
5,https://lda.senate.gov/filings/public/filing/82c6b5b6-a62a-4308-95d2-00e4d79169cd/print/,82c6b5b6-a62a-4308-95d2-00e4d79169cd,1999,66cae85dcdb396ee377d548d075548c64b577b1325a69c27c6,"Apple, Inc",AAPL,Yes,No,No,,,48782,"Jefferson Business Consulting, Llc","24972, 36162","Kathy Conrad, Robert J Thompson",2.0,"[{'lobbyist_id': '24972', 'lobbyist_name': 'Kathy Conrad', 'previous_positions': ''}, {'lobbyist_...",,,Senate,1.0,CPI,Computer Industry,1.0,,,"[{'agency_ids': '1', 'lobbyist_ids': '24972, 36162', 'specific_issue': '', 'general_issue_code': ...",No,,,,,Mid-Year Amendment,,2000-02-13 21:00:00.000,2000-02-13
6,https://lda.senate.gov/filings/public/filing/dbf220a6-dd90-4477-9ccc-4d26d3c0ecfb/print/,dbf220a6-dd90-4477-9ccc-4d26d3c0ecfb,1999,66cae85dcdb396ee377d548d075548c64b577b1325a69c27c6,"Apple, Inc",AAPL,Yes,No,No,,,48782,"Jefferson Business Consulting, Llc","24972, 36162","Kathy Conrad, Robert J Thompson",2.0,"[{'lobbyist_id': '24972', 'lobbyist_name': 'Kathy Conrad', 'previous_positions': ''}, {'lobbyist_...",,,Senate,1.0,CPI,Computer Industry,1.0,,,"[{'agency_ids': '1', 'lobbyist_ids': '24972, 36162', 'specific_issue': '', 'general_issue_code': ...",No,,,,,Year-End Report,,2000-02-14 21:00:00.000,2000-02-14
7,https://lda.senate.gov/filings/public/filing/61e59995-47f4-4eb2-beb1-f89bbc7b8498/print/,61e59995-47f4-4eb2-beb1-f89bbc7b8498,1999,66cae85dcdb396ee377d548d075548c64b577b1325a69c27c6,Apple Inc,AAPL,Yes,No,No,,,4152,Apple Inc.,"42720, 42723","Joshua Tenuta, Catherine Foster",2.0,"[{'lobbyist_id': '42720', 'lobbyist_name': 'Joshua Tenuta', 'previous_positions': ''}, {'lobbyist...",,,"Senate, House of Representatives, White House Office, Department of Commerce (DOC)",4.0,"CPI, CPT, EDU, TAX, TEC","Copyright/Patent/Trademark, Taxation/Internal Revenue Code, Telecommunications, Education, Comput...",5.0,,,"[{'agency_ids': '1, 12, 2, 24', 'lobbyist_ids': '42720, 42723', 'specific_issue': '', 'general_is...",No,,,,100000.0,Year-End Report,,2000-02-14 21:00:00.000,2000-02-14
8,https://lda.senate.gov/filings/public/filing/a9b4bdc3-f3d0-4431-a9af-c96e77fb5cbc/print/,a9b4bdc3-f3d0-4431-a9af-c96e77fb5cbc,2000,66cae85dcdb396ee377d548d075548c64b577b1325a69c27c6,Apple Computer Inc,AAPL,Yes,No,No,,,42865,"Harris, Wiltshire & Grannis Llp (F/K/A Wiltshire & Grannis Llp)",18543,Scott Blake Harris,1.0,"[{'lobbyist_id': '18543', 'lobbyist_name': 'Scott Blake Harris', 'previous_positions': ''}]",,,,,TEC,Telecommunications,1.0,,,"[{'agency_ids': '', 'lobbyist_ids': '18543', 'specific_issue': '', 'general_issue_code': 'TEC', '...",No,,,,,Registration,,2000-06-28 21:00:00.000,2000-06-28
9,https://lda.senate.gov/filings/public/filing/dda1cd4d-8554-45ed-b58d-101140ff3c67/print/,dda1cd4d-8554-45ed-b58d-101140ff3c67,2000,66cae85dcdb396ee377d548d075548c64b577b1325a69c27c6,Apple Inc,AAPL,Yes,No,No,,,4152,Apple Inc.,"42720, 42723","Joshua Tenuta, Catherine Foster",2.0,"[{'lobbyist_id': '42720', 'lobbyist_name': 'Joshua Tenuta', 'previous_positions': ''}, {'lobbyist...",,,"Department of Defense (DOD), Department of Commerce (DOC), Senate, Federal Trade Commission (FTC)...",9.0,"CPI, EDU, IMM, LBR, TAX, TEC, TRD","Trade (domestic/foreign), Taxation/Internal Revenue Code, Telecommunications, Immigration, Educat...",7.0,,,"[{'agency_ids': '1, 112, 12, 2, 24, 25, 32, 53, 64', 'lobbyist_ids': '42720, 42723', 'specific_is...",No,,,,180000.0,Mid-Year Report,,2000-08-13 21:00:00.000,2000-08-13
10,https://lda.senate.gov/filings/public/filing/62009770-8fe1-4bb1-bbed-f802acf6ba1f/print/,62009770-8fe1-4bb1-bbed-f802acf6ba1f,2000,66cae85dcdb396ee377d548d075548c64b577b1325a69c27c6,Apple Computer Inc,AAPL,Yes,No,No,,,42865,"Harris, Wiltshire & Grannis Llp (F/K/A Wiltshire & Grannis Llp)",18543,Scott Blake Harris,1.0,"[{'lobbyist_id': '18543', 'lobbyist_name': 'Scott Blake Harris', 'previous_positions': ''}]",,,"House of Representatives, Senate, Federal Communications Commission (FCC)",3.0,TEC,Telecommunications,1.0,,,"[{'agency_ids': '1, 2, 53', 'lobbyist_ids': '18543', 'specific_issue': '', 'general_issue_code': ...",No,,,,,Mid-Year Report,,2000-08-13 21:00:00.000,2000-08-13
