#,id,date,max,min,max_st,min_st,pre,evap,pet,solar_rad,sunshine
1,KLGA,01/01/1961,44.0,34.0,999999,999999,1.17,999999,999999,999999,999999
2,KLGA,01/02/1961,39.0,29.0,999999,999999,0.00,999999,999999,999999,999999
3,KLGA,01/03/1961,35.0,31.0,999999,999999,0.00,999999,999999,999999,999999
4,KLGA,01/04/1961,32.0,23.0,999999,999999,0.00,999999,999999,999999,999999
5,KLGA,01/05/1961,34.0,21.0,999999,999999,0.00,999999,999999,999999,999999
6,KLGA,01/06/1961,46.0,32.0,999999,999999,0.00,999999,999999,999999,999999
7,KLGA,01/07/1961,56.0,40.0,999999,999999,0.00,999999,999999,999999,999999
8,KLGA,01/08/1961,45.0,26.0,999999,999999,0.00,999999,999999,999999,999999
9,KLGA,01/09/1961,28.0,20.0,999999,999999,0.00,999999,999999,999999,999999
10,KLGA,01/10/1961,36.0,20.0,999999,999999,0.00,999999,999999,999999,999999
