#,fiscalyear,companyname,industry,sub_industry,gl_region,country,E_pillar_score,G_pillar_score,S_pillar_score,E_pillar_materiality_weight,G_pillar_materiality_weight,S_pillar_materiality_weight,pillar_materiality_weight_sum,E_pillar_to_overall_materiality_weight,G_pillar_to_overall_materiality_weight,S_pillar_to_overall_materiality_weight,E_pillar_to_overall_score,G_pillar_to_overall_score,S_pillar_to_overall_score,E_pillar_consistency_score,G_pillar_consistency_score,S_pillar_consistency_score,E_pillar_sentiment_weighting,G_pillar_sentiment_weighting,S_pillar_sentiment_weighting,E_pillar_penalty,S_pillar_penalty,G_pillar_penalty,E_pillar_score_adjusted,G_pillar_score_adjusted,S_pillar_score_adjusted,E_pillar_to_overall_score_adjusted,G_pillar_to_overall_score_adjusted,S_pillar_to_overall_score_adjusted,Overall,Overall_adjusted,E_pillar_transparency_score,G_pillar_transparency_score,S_pillar_transparency_score,E_pillar_to_overall_transparency,G_pillar_to_overall_transparency,S_pillar_to_overall_transparency,Overall_transparency_score,E_pillar_score_industry_rank,S_pillar_score_industry_rank,G_pillar_score_industry_rank,Overall_industry_rank,E_pillar_score_adjusted_industry_rank,S_pillar_score_adjusted_industry_rank,G_pillar_score_adjusted_industry_rank,Overall_adjusted_industry_rank,E_pillar_transparency_score_industry_rank,S_pillar_transparency_score_industry_rank,G_pillar_transparency_score_industry_rank,Overall_transparency_score_industry_rank,E_pillar_consistency_score_industry_rank,S_pillar_consistency_score_industry_rank,G_pillar_consistency_score_industry_rank,E_pillar_score_gl_region_rank,S_pillar_score_gl_region_rank,G_pillar_score_gl_region_rank,Overall_gl_region_rank,E_pillar_score_adjusted_gl_region_rank,S_pillar_score_adjusted_gl_region_rank,G_pillar_score_adjusted_gl_region_rank,Overall_adjusted_gl_region_rank,E_pillar_transparency_score_gl_region_rank,S_pillar_transparency_score_gl_region_rank,G_pillar_transparency_score_gl_region_rank,Overall_transparency_score_gl_region_rank,E_pillar_consistency_score_gl_region_rank,S_pillar_consistency_score_gl_region_rank,G_pillar_consistency_score_gl_region_rank,E_pillar_score_global_rank,S_pillar_score_global_rank,G_pillar_score_global_rank,Overall_global_rank,E_pillar_score_adjusted_global_rank,S_pillar_score_adjusted_global_rank,G_pillar_score_adjusted_global_rank,Overall_adjusted_global_rank,E_pillar_transparency_score_global_rank,S_pillar_transparency_score_global_rank,G_pillar_transparency_score_global_rank,Overall_transparency_score_global_rank,E_pillar_consistency_score_global_rank,S_pillar_consistency_score_global_rank,G_pillar_consistency_score_global_rank,industry_total_count,gl_region_total_count,global_total_count
11,2012,3i Group plc,Capital Markets,Asset Management and Custody Banks,Europe,United Kingdom,67.13804029,37.20107062,19.02439024,0.029885434,0.206078407,0.008753068,0.244716908,0.122122473,0.842109391,0.035768136,8.199063503,31.32737091,0.680466985,71.77616597,36.79334606,51.89178912,,,,0,0,0,67.13804029,37.20107062,19.02439024,8.199063503,31.32737091,0.680466985,40.2069014,40.2069014,99.46486059,60.75903197,100,12.14689474,51.16575139,3.576813641,66.88945977,23,166,228,196,23,166,198,158,1,1,45,19,96,43,137,307,1282,1373,1041,211,1282,1306,934,142,1,106,350,662,341,858,1179,6432,8150,5445,746,6432,6695,4305,375,1,1717,1768,2856,1614,5336,454,2544,17210
12,2013,3i Group plc,Capital Markets,Asset Management and Custody Banks,Europe,United Kingdom,82.22499601,46.70261025,62.89495986,0.018431955,0.125366298,0.135458345,0.279256598,0.06600365,0.448928686,0.485067664,5.42714987,20.96614146,30.50831123,85.22101322,56.93003569,83.64003037,,,,0,0,0,82.22499601,46.70261025,62.89495986,5.42714987,20.96614146,30.50831123,56.90160257,56.90160257,99.59112881,83.6905158,85.57224725,6.573378023,37.57107331,41.50833004,85.65278138,13,69,180,55,13,69,147,52,1,22,19,20,47,28,114,165,674,1131,539,137,674,1063,496,85,262,91,196,335,203,500,513,2798,6823,2067,378,2798,5290,1727,204,934,532,708,1364,1139,3812,454,2544,17210
13,2014,3i Group plc,Capital Markets,Asset Management and Custody Banks,Europe,United Kingdom,80.76411911,38.95700883,61.70502706,0.018173276,0.123117301,0.138888138,0.280178715,0.064863157,0.439424177,0.495712666,5.238615754,17.11865155,30.58796346,76.10122415,88.76468246,78.15669102,,,,0,0,0,80.76411911,38.95700883,61.70502706,5.238615754,17.11865155,30.58796346,52.94523076,52.94523076,99.60948282,85.30221164,83.88932794,6.460985544,37.48385415,41.58500238,85.52984207,12,81,225,70,12,81,198,66,1,26,18,22,98,41,14,209,745,1419,691,185,745,1348,622,94,259,65,198,765,331,74,658,3094,8470,2802,488,3094,6915,2378,222,896,458,722,3083,1635,524,454,2544,17210
14,2015,3i Group plc,Capital Markets,Asset Management and Custody Banks,Europe,United Kingdom,58.94471842,48.59633181,66.71830871,0.018704944,0.127263693,0.132473503,0.27844214,0.06717713,0.457056151,0.475766719,3.959737012,22.21125239,31.7423508,54.33748076,85.3177896,81.64735848,,,,0,0,0,58.94471842,48.59633181,66.71830871,3.959737012,22.21125239,31.7423508,57.91334021,57.91334021,98.8723415,83.69079993,84.94086444,6.641960138,38.25139493,40.41203634,85.30539141,69,77,187,64,69,77,145,59,21,21,37,21,136,43,19,636,767,1141,602,586,767,1088,528,212,291,109,226,1317,295,96,2213,3070,6976,2217,1977,3070,5313,1810,627,1069,772,849,5002,1550,709,454,2544,17210
15,2016,3i Group plc,Capital Markets,Asset Management and Custody Banks,Europe,United Kingdom,64.29837268,39.69839823,80.57506065,0.0262022,0.119662909,0.130112454,0.275977563,0.094943227,0.433596512,0.471460261,6.104694985,17.21308699,37.98793916,86.7240174,56.15751831,78.59956235,,,,0,0,0,64.29837268,39.69839823,80.57506065,6.104694985,17.21308699,37.98793916,61.30572113,61.30572113,87.24728575,78.86376063,85.31453023,8.283538845,34.19505151,40.22241073,82.70100108,76,64,248,68,76,64,220,59,21,23,11,19,131,39,132,733,468,1472,600,678,468,1427,532,1666,274,216,260,447,346,613,3720,2206,9458,2401,3313,2206,7599,1853,10284,1028,1058,1112,3290,1900,4385,454,2544,17210
16,2017,3i Group plc,Capital Markets,Asset Management and Custody Banks,Europe,United Kingdom,67.72756437,36.2356686,78.08691737,0.024275491,0.117332033,0.13643147,0.278038995,0.087309663,0.42199848,0.490691856,5.913270847,15.29139709,38.31661443,73.20800422,57.9542626,64.38057094,,,,0,0,0,67.72756437,36.2356686,78.08691737,5.913270847,15.29139709,38.31661443,59.52128236,59.52128236,86.82242816,78.08010298,86.57385519,7.580436977,32.94968481,42.4810857,83.01120748,65,80,276,83,65,80,245,70,3,23,15,20,271,62,139,696,605,1635,699,644,605,1586,647,1743,304,256,315,1400,675,661,3457,2696,10514,3036,3064,2696,9234,2448,11261,1177,1326,1371,9576,3809,4642,454,2544,17210
17,2018,3i Group plc,Capital Markets,Asset Management and Custody Banks,Europe,United Kingdom,71.65935411,37.4316965,48.12228684,0.023986342,0.128695177,0.121762527,0.274444046,0.087399755,0.468930474,0.443669771,6.263010006,17.55286319,21.35040397,67.07333655,57.27791389,81.85075647,,,,0,0,0,71.65935411,37.4316965,48.12228684,6.263010006,17.55286319,21.35040397,45.16627716,45.16627716,85.68654511,80.04568158,75.98338094,7.488983065,37.53585941,33.7115292,78.73637168,56,159,277,178,56,159,238,157,3,21,21,19,329,34,149,617,1234,1599,1405,554,1234,1548,1328,1813,290,253,330,1711,250,706,3134,6009,10463,7174,2673,6009,8547,6160,12141,958,1171,1260,11899,1402,4809,454,2544,17210
18,2019,3i Group plc,Capital Markets,Asset Management and Custody Banks,Europe,United Kingdom,78.83111988,51.40431917,50.46722012,0.028247542,0.121565011,0.124167414,0.273979968,0.103100758,0.443700363,0.453198879,8.127548248,22.80811506,22.87168758,77.2207791,39.73080386,87.60822603,,,,0,0,0,78.83111988,51.40431917,50.46722012,8.127548248,22.80811506,22.87168758,53.80735089,53.80735089,60.9593971,82.52793213,77.03499685,6.284960075,36.61767341,34.91217421,77.8148077,33,159,175,118,33,159,139,100,4,20,28,19,281,29,248,423,1108,1090,911,360,1108,1032,807,2080,320,184,383,1235,205,1385,2185,5840,6816,4698,1756,5840,5165,3733,14158,984,981,1489,9157,1035,8027,454,2544,17210
19,2020,3i Group plc,Capital Markets,Asset Management and Custody Banks,Europe,United Kingdom,86.58123497,56.69960143,60.38137483,0.047007176,0.090715755,0.1340337,0.271756631,0.172975268,0.333812479,0.493212253,14.97641234,18.92703453,29.78083389,91.51462534,53.03195812,57.77868102,,,,0,0,0,86.58123497,56.69960143,60.38137483,14.97641234,18.92703453,29.78083389,63.68428075,63.68428075,54.37675735,84.57098005,84.12601959,9.405834186,28.23084852,41.49198362,79.12866633,27,135,151,72,27,135,122,64,16,23,12,21,204,211,253,231,977,923,558,199,977,878,511,2314,358,197,542,229,1324,1313,1082,4862,6311,2739,871,4862,4790,2126,15889,1093,1110,2106,1812,7148,8258,454,2544,17210
20,2002,ABB Ltd,Electrical Equipment,Electrical Components and Equipment,Europe,Switzerland,26.66666667,26.33778303,,0.076504457,0.154369429,0,0.230873886,0.331369035,0.668630965,0,8.836507593,17.61025729,,,69.02920584,,,,,0,0,0,26.66666667,26.33778303,,8.836507593,17.61025729,,26.44676488,26.44676488,3.426804985,62.46597475,,1.13553706,41.76668499,,42.90222205,15,1,80,61,15,1,74,53,19,1,3,12,19,1,19,478,1,934,890,451,1,917,851,529,1,9,327,525,1,135,1614,1,4757,4233,1546,1,4438,3775,1424,1,106,1176,1326,1,1057,338,2544,17210
21,2003,ABB Ltd,Electrical Equipment,Electrical Components and Equipment,Europe,Switzerland,27.08333333,19.73103891,1.694915254,0.071186189,0.15754763,0.004626179,0.233359998,0.305048806,0.67512698,0.019824215,8.261738491,13.32095671,0.033600364,,66.90642635,21.89923587,,,,0,0,0,27.08333333,19.73103891,1.694915254,8.261738491,13.32095671,0.033600364,21.61629556,21.61629556,3.625104036,62.11311411,100,1.105833657,41.93423912,1.982421463,45.02249424,17,58,95,79,17,58,88,73,22,1,3,11,22,36,17,495,466,1090,1069,473,466,1084,1046,570,1,19,338,557,291,151,1794,3544,6056,5280,1704,3544,5800,4900,1625,1,176,1256,1484,1925,1188,338,2544,17210
22,2004,ABB Ltd,Electrical Equipment,Electrical Components and Equipment,Europe,Switzerland,71.91001785,9.335261005,4.938271605,0.064854457,0.164743809,0.00558416,0.235182426,0.275762343,0.700493707,0.02374395,19.83007498,6.539291587,0.117254076,80.83051518,72.29867776,22.75231303,,,,0,0,0,71.91001785,9.335261005,4.938271605,19.83007498,6.539291587,0.117254076,26.48662065,26.48662065,100,61.72170623,100,27.57623427,43.2356668,2.374395034,73.1862961,9,77,115,81,9,77,111,66,1,1,4,2,15,35,14,165,620,1415,1065,117,620,1407,1037,35,1,30,76,308,293,123,459,4473,7541,5201,325,4473,7457,4721,83,1,239,306,1027,1917,898,338,2544,17210
23,2005,ABB Ltd,Electrical Equipment,Electrical Components and Equipment,Europe,Switzerland,79.54678059,20.13324534,46.83544304,0.066732399,0.162508926,0.0054341,0.234675425,0.284360405,0.692483784,0.023155812,22.61995472,13.94194591,1.084512702,72.95948751,69.54012344,73.71802931,,,,0,0,0,79.54678059,20.13324534,46.83544304,22.61995472,13.94194591,1.084512702,37.64641333,37.64641333,100,61.1643796,100,28.43604046,42.35534101,2.315581174,73.10696264,6,41,101,60,6,41,98,48,1,1,4,2,30,22,19,120,343,1258,855,85,343,1247,776,4,3,38,93,534,181,167,353,2350,7019,4229,225,2350,6764,3564,13,12,368,438,2122,1124,1216,338,2544,17210
24,2006,ABB Ltd,Electrical Equipment,Electrical Components and Equipment,Europe,Switzerland,70.07357712,20.52157233,30.86419753,0.073096826,0.154680425,0.005264723,0.233041974,0.313663777,0.663744913,0.02259131,21.9795429,13.62108923,0.697262652,66.65378658,69.99496391,86.73782159,,,,0,0,0,70.07357712,20.52157233,30.86419753,21.9795429,13.62108923,0.697262652,36.29789479,36.29789479,99.93415691,60.74836863,100,31.34572516,40.32142063,2.259130994,73.92627678,17,56,111,67,17,56,102,58,1,1,5,2,46,11,23,230,537,1336,959,168,537,1321,897,33,1,52,108,643,99,169,841,3246,7495,4806,542,3246,7208,4165,93,1,405,425,2695,654,1265,338,2544,17210
25,2007,ABB Ltd,Electrical Equipment,Electrical Components and Equipment,Europe,Switzerland,73.32998538,14.66002604,38.31775701,0.069991364,0.158490359,0.005360582,0.233842305,0.2993101,0.677765981,0.022923918,21.94840528,9.936066937,0.878393134,79.56296046,64.44039084,87.53590501,,,,0,0,0,73.32998538,14.66002604,38.31775701,21.94840528,9.936066937,0.878393134,32.76286535,32.76286535,99.93367995,65.69180206,100,29.91115977,44.52366869,2.292391838,76.7272203,12,66,134,87,12,66,126,75,1,1,2,1,32,15,26,200,751,1537,1115,143,751,1521,1068,34,1,4,74,391,91,224,664,3988,8804,5715,429,3988,8603,5027,92,1,34,281,1647,569,1510,338,2544,17210
26,2008,ABB Ltd,Electrical Equipment,Electrical Components and Equipment,Europe,Switzerland,73.09745701,6.989681598,64.1025641,0.072259065,0.155618955,0.005409619,0.233287638,0.309742367,0.667069013,0.023188621,22.64137934,4.662600001,1.486450043,76.51267427,58.19369397,86.88964092,,,,0,0,0,73.09745701,6.989681598,64.1025641,22.64137934,4.662600001,1.486450043,28.79042939,28.79042939,100,65.54442098,100,30.97423668,43.72265218,2.318862067,77.01575093,13,42,164,109,13,42,163,91,1,1,2,1,37,14,29,192,479,1770,1275,129,479,1760,1221,30,1,5,78,451,92,259,702,2433,10405,6699,414,2433,10298,5922,74,1,51,271,1991,577,1679,338,2544,17210
27,2009,ABB Ltd,Electrical Equipment,Electrical Components and Equipment,Europe,Switzerland,71.85167523,12.97205251,42.60869565,0.069940195,0.158625485,0.005265694,0.233831375,0.299105265,0.678375542,0.022519193,21.49121439,8.799923149,0.959513425,78.54394372,64.83635863,83.83570848,,,,0,0,0,71.85167523,12.97205251,42.60869565,21.49121439,8.799923149,0.959513425,31.25065097,31.25065097,100,63.87868591,100,29.91052655,43.33373817,2.251919262,75.49618398,15,66,153,109,15,66,150,92,1,1,4,2,33,13,29,217,615,1717,1261,145,615,1703,1206,36,1,42,99,416,97,235,808,4078,9898,6546,489,4078,9659,5731,83,1,244,392,1897,627,1589,338,2544,17210
28,2010,ABB Ltd,Electrical Equipment,Electrical Components and Equipment,Europe,Switzerland,70.89397408,10.89593307,36.06557377,0.069546741,0.158997688,0.005425182,0.23396961,0.297246897,0.679565554,0.023187549,21.07301385,7.404500788,0.836272253,77.90764833,82.66686793,72.66486699,,,,0,0,0,70.89397408,10.89593307,36.06557377,21.07301385,7.404500788,0.836272253,29.31378689,29.31378689,100,65.1583677,100,29.72468975,44.27938222,2.318754884,76.32282685,13,78,175,120,13,78,171,99,1,1,2,1,35,22,14,234,866,1861,1437,156,866,1848,1374,12,9,8,116,437,223,121,885,4731,10700,7331,539,4731,10506,6473,21,35,73,371,1954,1069,724,338,2544,17210
29,2011,ABB Ltd,Electrical Equipment,Electrical Components and Equipment,Europe,Switzerland,82.48712904,20.08989997,79.03225806,0.066767413,0.16244295,0.005463712,0.234674075,0.284511244,0.692206628,0.023282129,23.46851567,13.90636191,1.840039198,74.76751241,35.78431607,46.85453774,,,,0,0,0,82.48712904,20.08989997,79.03225806,23.46851567,13.90636191,1.840039198,39.21491678,39.21491678,99.93536947,64.90661086,100,28.43273625,44.92878622,2.328212863,75.68973534,7,26,208,75,7,26,191,56,1,1,5,1,38,35,112,106,332,1856,1102,65,332,1818,999,38,3,10,147,541,366,900,375,1550,11298,5744,223,1550,10721,4576,104,8,215,656,2434,1781,5307,338,2544,17210
30,2012,ABB Ltd,Electrical Equipment,Electrical Components and Equipment,Europe,Switzerland,86.76838531,17.35235464,67.96875,0.065301504,0.164281396,0.005455633,0.235038532,0.277833184,0.698955163,0.023211653,24.10713675,12.12851786,1.577667066,82.98560092,35.39412298,66.04053482,,,,0,0,0,86.76838531,17.35235464,67.96875,24.10713675,12.12851786,1.577667066,37.81332168,37.81332168,99.93792847,64.60932726,100,27.76607286,45.15902285,2.321165339,75.24626105,4,41,238,92,4,41,227,70,1,1,8,1,30,28,99,70,462,2005,1144,40,462,1971,1048,40,1,15,156,331,270,892,251,2473,12560,6028,139,2473,12052,4845,105,1,324,691,1517,1257,5438,338,2544,17210
31,2013,ABB Ltd,Electrical Equipment,Electrical Components and Equipment,Europe,Switzerland,89.68225127,38.55503273,81.41031916,0.04500535,0.112772757,0.107960741,0.265738848,0.169359316,0.424374373,0.406266311,15.18852477,16.36176783,33.07427004,87.16491156,12.71588144,91.91138949,,,,0,0,0,89.68225127,38.55503273,81.41031916,15.18852477,16.36176783,33.07427004,64.62456264,64.62456264,99.82155656,86.97252498,100,16.90571058,36.90891072,40.6266311,94.4412524,3,22,138,11,3,22,107,9,2,1,1,1,20,2,173,66,370,1431,324,58,370,1370,288,54,8,35,44,255,69,1676,204,1499,8331,1139,157,1499,6871,928,119,30,292,132,1016,412,9491,338,2544,17210
32,2014,ABB Ltd,Electrical Equipment,Electrical Components and Equipment,Europe,Switzerland,89.29319314,40.22086972,78.56956037,0.049604188,0.121377233,0.088823375,0.259804797,0.190928685,0.467186267,0.341885048,17.04863194,18.79063799,26.86175791,87.79855828,30.02792728,70.64626906,,,,0,0,0,89.29319314,40.22086972,78.56956037,17.04863194,18.79063799,26.86175791,62.70102784,62.70102784,99.83140247,85.69345368,100,19.06067839,40.03480474,34.18850479,93.28398793,3,33,134,11,3,33,101,9,2,1,6,2,19,37,125,81,440,1388,386,71,440,1317,345,61,2,56,63,250,433,1270,238,1848,8238,1394,181,1848,6679,1124,139,7,439,210,1031,2228,7161,338,2544,17210
33,2015,ABB Ltd,Electrical Equipment,Electrical Components and Equipment,Europe,Switzerland,84.11250075,36.76040514,76.68690255,0.050326949,0.11540047,0.095587792,0.261315211,0.192590967,0.441614056,0.365794977,16.19930782,16.23391162,28.05168378,84.50508352,31.31591636,83.19025209,,,,0,0,0,84.11250075,36.76040514,76.68690255,16.19930782,16.23391162,28.05168378,60.48490322,60.48490322,99.86132244,85.15004276,100,19.23238861,37.60345576,36.57949773,93.41534211,9,36,167,18,9,36,119,14,2,1,5,4,32,17,134,169,547,1516,505,148,547,1468,441,30,14,81,66,407,257,1347,497,2238,9815,1818,366,2238,7989,1470,97,40,625,211,1666,1372,7500,338,2544,17210
34,2016,ABB Ltd,Electrical Equipment,Electrical Components and Equipment,Europe,Switzerland,87.96108666,38.37861465,69.90279361,0.062921288,0.1060118,0.087115453,0.256048541,0.245739686,0.414030088,0.340230226,21.6155298,15.88990121,23.78304326,85.62548902,52.32942438,81.16757781,,,,0,0,0,87.96108666,38.37861465,69.90279361,21.6155298,15.88990121,23.78304326,61.28847427,61.28847427,99.85886937,85.86606327,100,24.53928719,35.55113376,34.02302259,94.11344353,13,63,160,33,13,63,122,22,2,1,5,4,82,22,85,176,737,1516,602,149,737,1473,533,81,58,85,70,542,292,707,736,3360,9658,2407,586,3360,7911,1856,231,160,365,169,3867,1625,4962,338,2544,17210
35,2017,ABB Ltd,Electrical Equipment,Electrical Components and Equipment,Europe,Switzerland,87.92552363,45.40671222,79.25841092,0.066082282,0.09342363,0.098631357,0.258137269,0.255996673,0.361914537,0.38208879,22.50864153,16.43334921,30.28375036,91.14023988,64.2169541,77.50136766,,,,0,0,0,87.92552363,45.40671222,79.25841092,22.50864153,16.43334921,30.28375036,69.22574109,69.22574109,99.85141812,86.93681035,100,25.56163084,31.46369542,38.20887904,95.23420531,18,55,126,17,18,55,89,15,2,1,6,4,32,37,74,187,577,1295,340,165,577,1233,304,70,25,88,42,185,405,496,832,2567,8177,1294,672,2567,6498,952,224,69,361,113,1594,2465,3667,338,2544,17210
