#,Date(dd.mm.yyyy),GMT-Time(HH:00:00),CloseMid
1,01.01.2017,01:00:00,NA
2,01.01.2017,02:00:00,NA
3,01.01.2017,03:00:00,NA
4,01.01.2017,04:00:00,NA
5,01.01.2017,05:00:00,NA
6,01.01.2017,06:00:00,NA
7,01.01.2017,07:00:00,NA
8,01.01.2017,08:00:00,NA
9,01.01.2017,09:00:00,NA
10,01.01.2017,10:00:00,NA
11,01.01.2017,11:00:00,NA
12,01.01.2017,12:00:00,NA
13,01.01.2017,13:00:00,NA
14,01.01.2017,14:00:00,NA
15,01.01.2017,15:00:00,NA
16,01.01.2017,16:00:00,NA
17,01.01.2017,17:00:00,NA
18,01.01.2017,18:00:00,NA
19,01.01.2017,19:00:00,NA
20,01.01.2017,20:00:00,116.915
21,01.01.2017,21:00:00,116.895
22,01.01.2017,22:00:00,116.915
23,01.01.2017,23:00:00,116.981
24,02.01.2017,00:00:00,116.82
25,02.01.2017,01:00:00,116.7695
26,02.01.2017,02:00:00,116.7825
27,02.01.2017,03:00:00,116.8445
28,02.01.2017,04:00:00,116.815
29,02.01.2017,05:00:00,116.8605
30,02.01.2017,06:00:00,116.8675
31,02.01.2017,07:00:00,116.892
32,02.01.2017,08:00:00,117.138
33,02.01.2017,09:00:00,117.388
34,02.01.2017,10:00:00,117.4205
35,02.01.2017,11:00:00,117.3585
36,02.01.2017,12:00:00,117.4005
37,02.01.2017,13:00:00,117.488
38,02.01.2017,14:00:00,117.338
39,02.01.2017,15:00:00,117.379
40,02.01.2017,16:00:00,117.3805
41,02.01.2017,17:00:00,117.3905
42,02.01.2017,18:00:00,117.388
43,02.01.2017,19:00:00,117.478
44,02.01.2017,20:00:00,117.604
45,02.01.2017,21:00:00,117.5935
46,02.01.2017,22:00:00,117.55
47,02.01.2017,23:00:00,117.3135
48,03.01.2017,00:00:00,117.458
49,03.01.2017,01:00:00,117.3605
50,03.01.2017,02:00:00,117.388
51,03.01.2017,03:00:00,117.385
52,03.01.2017,04:00:00,117.3775
53,03.01.2017,05:00:00,117.3275
54,03.01.2017,06:00:00,117.343
55,03.01.2017,07:00:00,117.4915
56,03.01.2017,08:00:00,117.8385
57,03.01.2017,09:00:00,118.067
58,03.01.2017,10:00:00,118.1545
59,03.01.2017,11:00:00,118.2635
60,03.01.2017,12:00:00,118.202
61,03.01.2017,13:00:00,118.164
62,03.01.2017,14:00:00,118.184
63,03.01.2017,15:00:00,118.2615
64,03.01.2017,16:00:00,118.035
65,03.01.2017,17:00:00,117.688
66,03.01.2017,18:00:00,117.436
67,03.01.2017,19:00:00,117.592
68,03.01.2017,20:00:00,117.671
69,03.01.2017,21:00:00,117.732
70,03.01.2017,22:00:00,117.75
71,03.01.2017,23:00:00,117.6975
72,04.01.2017,00:00:00,117.6345
73,04.01.2017,01:00:00,117.946
74,04.01.2017,02:00:00,118.1465
75,04.01.2017,03:00:00,117.9465
76,04.01.2017,04:00:00,117.9375
77,04.01.2017,05:00:00,118.0055
78,04.01.2017,06:00:00,118.08
79,04.01.2017,07:00:00,118.059
80,04.01.2017,08:00:00,118.001
81,04.01.2017,09:00:00,117.767
82,04.01.2017,10:00:00,117.689
83,04.01.2017,11:00:00,117.6015
84,04.01.2017,12:00:00,117.5765
85,04.01.2017,13:00:00,117.5175
86,04.01.2017,14:00:00,117.516
87,04.01.2017,15:00:00,117.1755
88,04.01.2017,16:00:00,117.186
89,04.01.2017,17:00:00,117.3835
90,04.01.2017,18:00:00,117.382
91,04.01.2017,19:00:00,117.4055
92,04.01.2017,20:00:00,117.6
93,04.01.2017,21:00:00,117.368
94,04.01.2017,22:00:00,117.254
95,04.01.2017,23:00:00,117.2735
96,05.01.2017,00:00:00,117.135
97,05.01.2017,01:00:00,116.366
98,05.01.2017,02:00:00,116.536
99,05.01.2017,03:00:00,116.521
