#,Date(dd.mm.yyyy),GMT-Time(HH:00:00),CloseMid
1,01.01.2012,01:00:00,76.9715
2,01.01.2012,02:00:00,76.915
3,01.01.2012,03:00:00,NA
4,01.01.2012,04:00:00,NA
5,01.01.2012,05:00:00,NA
6,01.01.2012,06:00:00,NA
7,01.01.2012,07:00:00,NA
8,01.01.2012,08:00:00,76.99
9,01.01.2012,09:00:00,NA
10,01.01.2012,10:00:00,NA
11,01.01.2012,11:00:00,NA
12,01.01.2012,12:00:00,NA
13,01.01.2012,13:00:00,NA
14,01.01.2012,14:00:00,NA
15,01.01.2012,15:00:00,NA
16,01.01.2012,16:00:00,NA
17,01.01.2012,17:00:00,NA
18,01.01.2012,18:00:00,76.859
19,01.01.2012,19:00:00,76.802
20,01.01.2012,20:00:00,76.9135
21,01.01.2012,21:00:00,76.95
22,01.01.2012,22:00:00,76.955
23,01.01.2012,23:00:00,77.13
24,02.01.2012,00:00:00,77.0385
25,02.01.2012,01:00:00,77.091
26,02.01.2012,02:00:00,77.069
27,02.01.2012,03:00:00,76.9875
28,02.01.2012,04:00:00,76.954
29,02.01.2012,05:00:00,76.943
30,02.01.2012,06:00:00,76.9595
31,02.01.2012,07:00:00,76.972
32,02.01.2012,08:00:00,76.99
33,02.01.2012,09:00:00,76.959
34,02.01.2012,10:00:00,76.9285
35,02.01.2012,11:00:00,76.915
36,02.01.2012,12:00:00,76.916
37,02.01.2012,13:00:00,76.9395
38,02.01.2012,14:00:00,76.931
39,02.01.2012,15:00:00,76.919
40,02.01.2012,16:00:00,76.925
41,02.01.2012,17:00:00,76.9105
42,02.01.2012,18:00:00,76.936
43,02.01.2012,19:00:00,76.911
44,02.01.2012,20:00:00,76.896
45,02.01.2012,21:00:00,76.89
46,02.01.2012,22:00:00,76.8925
47,02.01.2012,23:00:00,76.906
48,03.01.2012,00:00:00,76.9495
49,03.01.2012,01:00:00,76.899
50,03.01.2012,02:00:00,76.865
51,03.01.2012,03:00:00,76.856
52,03.01.2012,04:00:00,76.8675
53,03.01.2012,05:00:00,76.832
54,03.01.2012,06:00:00,76.7775
55,03.01.2012,07:00:00,76.7755
56,03.01.2012,08:00:00,76.8135
57,03.01.2012,09:00:00,76.8155
58,03.01.2012,10:00:00,76.8195
59,03.01.2012,11:00:00,76.724
60,03.01.2012,12:00:00,76.6855
61,03.01.2012,13:00:00,76.7205
62,03.01.2012,14:00:00,76.7445
63,03.01.2012,15:00:00,76.722
64,03.01.2012,16:00:00,76.745
65,03.01.2012,17:00:00,76.6725
66,03.01.2012,18:00:00,76.687
67,03.01.2012,19:00:00,76.628
68,03.01.2012,20:00:00,76.682
69,03.01.2012,21:00:00,76.651
70,03.01.2012,22:00:00,76.734
71,03.01.2012,23:00:00,76.728
72,04.01.2012,00:00:00,76.737
73,04.01.2012,01:00:00,76.647
74,04.01.2012,02:00:00,76.6725
75,04.01.2012,03:00:00,76.6615
76,04.01.2012,04:00:00,76.691
77,04.01.2012,05:00:00,76.6745
78,04.01.2012,06:00:00,76.7135
79,04.01.2012,07:00:00,76.673
80,04.01.2012,08:00:00,76.687
81,04.01.2012,09:00:00,76.6925
82,04.01.2012,10:00:00,76.635
83,04.01.2012,11:00:00,76.657
84,04.01.2012,12:00:00,76.735
85,04.01.2012,13:00:00,76.723
86,04.01.2012,14:00:00,76.776
87,04.01.2012,15:00:00,76.723
88,04.01.2012,16:00:00,76.7415
89,04.01.2012,17:00:00,76.686
90,04.01.2012,18:00:00,76.6805
91,04.01.2012,19:00:00,76.706
92,04.01.2012,20:00:00,76.747
93,04.01.2012,21:00:00,76.726
94,04.01.2012,22:00:00,76.7155
95,04.01.2012,23:00:00,76.7525
96,05.01.2012,00:00:00,76.725
97,05.01.2012,01:00:00,76.685
98,05.01.2012,02:00:00,76.713
99,05.01.2012,03:00:00,76.739
