#,id,date,max,min,max_st,min_st,pre,evap,pet,solar_rad,sunshine
1,KBOS,01/01/1981,25.0,13.0,999999,999999,0.00,999999,999999,999999,999999
2,KBOS,01/02/1981,31.0,12.0,999999,999999,0.22,999999,999999,999999,999999
3,KBOS,01/03/1981,15.0,6.0,999999,999999,0.00,999999,999999,999999,999999
4,KBOS,01/04/1981,12.0,-4.0,999999,999999,0.00,999999,999999,999999,999999
5,KBOS,01/05/1981,24.0,-4.0,999999,999999,0.00,999999,999999,999999,999999
6,KBOS,01/06/1981,29.0,16.0,999999,999999,0.00,999999,999999,999999,999999
7,KBOS,01/07/1981,34.0,16.0,999999,999999,0.19,999999,999999,999999,999999
8,KBOS,01/08/1981,18.0,11.0,999999,999999,0.00,999999,999999,999999,999999
9,KBOS,01/09/1981,19.0,10.0,999999,999999,0.00,999999,999999,999999,999999
10,KBOS,01/10/1981,23.0,11.0,999999,999999,0.08,999999,999999,999999,999999
