#,id,date,max,min,max_st,min_st,pre,evap,pet,solar_rad,sunshine
1,KATL,01/01/1948,63.0,42.0,999999,999999,0.38,999999,999999,999999,999999
2,KATL,01/02/1948,43.0,32.0,999999,999999,0.00,999999,999999,999999,999999
3,KATL,01/03/1948,52.0,28.0,999999,999999,0.00,999999,999999,999999,999999
4,KATL,01/04/1948,56.0,35.0,999999,999999,0.00,999999,999999,999999,999999
5,KATL,01/05/1948,47.0,31.0,999999,999999,0.00,999999,999999,999999,999999
6,KATL,01/06/1948,56.0,31.0,999999,999999,0.00,999999,999999,999999,999999
7,KATL,01/07/1948,52.0,30.0,999999,999999,0.00,999999,999999,999999,999999
8,KATL,01/08/1948,61.0,31.0,999999,999999,0.00,999999,999999,999999,999999
9,KATL,01/09/1948,66.0,47.0,999999,999999,0.00,999999,999999,999999,999999
10,KATL,01/10/1948,52.0,35.0,999999,999999,0.00,999999,999999,999999,999999
