#,id,date,max,min,max_st,min_st,pre,evap,pet,solar_rad,sunshine
1,KORD,01/01/1961,29.0,18.0,999999,999999,0.00,999999,999999,999999,999999
2,KORD,01/02/1961,31.0,24.0,999999,999999,0.03,999999,999999,999999,999999
3,KORD,01/03/1961,24.0,1.0,999999,999999,0.00,999999,999999,999999,999999
4,KORD,01/04/1961,32.0,1.0,999999,999999,0.00,999999,999999,999999,999999
5,KORD,01/05/1961,38.0,13.0,999999,999999,0.00,999999,999999,999999,999999
6,KORD,01/06/1961,44.0,30.0,999999,999999,0.00,999999,999999,999999,999999
7,KORD,01/07/1961,40.0,29.0,999999,999999,0.00,999999,999999,999999,999999
8,KORD,01/08/1961,29.0,8.0,999999,999999,0.00,999999,999999,999999,999999
9,KORD,01/09/1961,31.0,6.0,999999,999999,0.00,999999,999999,999999,999999
10,KORD,01/10/1961,41.0,21.0,999999,999999,0.00,999999,999999,999999,999999
