#,time,dewpoint_2meter,temperature_2meter,cape_index,mean_sea_level_pressure,snow_depth,snowfall,surface_pressure,solar_radiation_surface,total_cloud_cover,total_precipitation,relative_humidity,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_direction_text_10m,wind_direction_text_100m,windchill,uv_index,precipitation_type
1,2003-01-01 00:00,1.0,1.0,0.0,1014.4,0.0,0.0,953.3,0.0,100.0,0.1,100.0,2.1,2.9,229.0,235.0,SW,SW,-1.3,0.0,rain
2,2003-01-01 01:00,1.0,1.1,0.0,1014.8,0.0,0.0,953.6,0.0,100.0,0.1,99.0,1.8,2.7,235.0,242.0,SW,SW,-1.0,0.0,rain
3,2003-01-01 02:00,1.0,1.0,10.0,1015.4,0.0,0.0,954.2,0.0,100.0,0.1,100.0,1.3,1.9,242.0,250.0,SW,W,-0.4,0.0,rain
4,2003-01-01 03:00,1.1,1.1,0.0,1015.3,0.0,0.0,954.1,0.0,100.0,0.1,100.0,1.0,1.2,247.0,259.0,SW,W,0.4,0.0,rain
5,2003-01-01 04:00,1.2,1.3,0.0,1015.1,0.0,0.0,954.0,0.0,100.0,0.2,99.0,0.7,0.7,252.0,278.0,W,W,1.3,0.0,rain
6,2003-01-01 05:00,1.5,1.5,0.0,1014.8,0.0,0.0,953.9,0.0,100.0,0.4,100.0,0.5,0.5,278.0,330.0,W,NW,2.1,0.0,rain
7,2003-01-01 06:00,1.7,1.7,0.0,1014.8,0.0,0.0,954.0,0.0,100.0,0.4,100.0,0.5,1.1,307.0,13.0,NW,N,2.4,0.0,rain
8,2003-01-01 07:00,2.1,2.1,0.0,1014.8,0.0,0.0,954.2,0.0,98.0,0.3,100.0,0.7,2.0,316.0,31.0,NW,NE,2.3,0.0,rain
9,2003-01-01 08:00,2.9,2.9,10.0,1014.8,0.0,0.0,954.3,5.0,92.0,0.2,100.0,1.1,2.7,341.0,41.0,N,NE,2.3,0.0,rain
10,2003-01-01 09:00,3.7,3.8,10.0,1014.4,0.0,0.0,954.1,52.0,88.0,0.2,100.0,1.7,3.7,23.0,49.0,N,NE,2.3,0.0,rain
11,2003-01-01 10:00,4.1,4.9,20.0,1013.7,0.0,0.0,953.5,86.0,68.0,0.1,95.0,1.9,4.2,47.0,64.0,NE,NE,3.4,1.0,rain
12,2003-01-01 11:00,4.1,6.1,0.0,1012.4,0.0,0.0,952.5,145.0,51.0,0.0,87.0,3.3,5.1,64.0,66.0,NE,NE,3.6,1.0,rain
13,2003-01-01 12:00,4.0,6.5,0.0,1011.5,0.0,0.0,951.9,167.0,56.0,0.0,84.0,4.5,7.4,77.0,77.0,E,E,3.4,2.0,rain
14,2003-01-01 13:00,3.6,7.0,0.0,1010.5,0.0,0.0,951.0,197.0,42.0,0.0,79.0,3.6,6.0,73.0,75.0,E,E,4.5,2.0,no precipitation
15,2003-01-01 14:00,3.2,7.3,0.0,1009.8,0.0,0.0,950.4,157.0,16.0,0.0,75.0,2.8,4.9,61.0,63.0,NE,NE,5.3,1.0,no precipitation
16,2003-01-01 15:00,2.9,5.5,0.0,1009.4,0.0,0.0,950.1,72.0,18.0,0.0,83.0,1.9,4.5,48.0,55.0,NE,NE,4.1,1.0,no precipitation
17,2003-01-01 16:00,1.8,3.9,0.0,1009.1,0.0,0.0,949.8,5.0,28.0,0.0,86.0,2.5,4.3,26.0,45.0,NE,NE,1.6,0.0,no precipitation
18,2003-01-01 17:00,1.5,3.2,0.0,1007.9,0.0,0.0,948.7,0.0,97.0,0.1,88.0,2.1,4.7,357.0,17.0,N,N,1.2,0.0,rain
19,2003-01-01 18:00,2.1,4.1,0.0,1006.7,0.0,0.0,947.7,0.0,99.0,0.2,87.0,2.6,6.0,345.0,356.0,N,N,1.7,0.0,rain
20,2003-01-01 19:00,2.7,4.9,0.0,1005.4,0.0,0.0,946.4,0.0,100.0,0.0,85.0,2.8,6.7,345.0,351.0,N,N,2.5,0.0,no precipitation
