#,Date(dd.mm.yyyy),GMT-Time(HH:00:00),CloseMid
1,01.01.2003,01:00:00,1.0492
2,01.01.2003,02:00:00,NA
3,01.01.2003,03:00:00,NA
4,01.01.2003,04:00:00,NA
5,01.01.2003,05:00:00,1.0491
6,01.01.2003,06:00:00,1.0487
7,01.01.2003,07:00:00,1.0487
8,01.01.2003,08:00:00,1.04685
9,01.01.2003,09:00:00,NA
10,01.01.2003,10:00:00,NA
11,01.01.2003,11:00:00,NA
12,01.01.2003,12:00:00,NA
13,01.01.2003,13:00:00,NA
14,01.01.2003,14:00:00,NA
15,01.01.2003,15:00:00,NA
16,01.01.2003,16:00:00,NA
17,01.01.2003,17:00:00,NA
18,01.01.2003,18:00:00,1.04865
19,01.01.2003,19:00:00,1.04925
20,01.01.2003,20:00:00,1.04915
21,01.01.2003,21:00:00,1.04925
22,01.01.2003,22:00:00,1.0492
23,01.01.2003,23:00:00,1.04785
24,02.01.2003,00:00:00,1.04755
25,02.01.2003,01:00:00,1.04845
26,02.01.2003,02:00:00,1.04865
27,02.01.2003,03:00:00,1.04755
28,02.01.2003,04:00:00,1.04675
29,02.01.2003,05:00:00,1.0487
30,02.01.2003,06:00:00,1.04735
31,02.01.2003,07:00:00,1.04735
32,02.01.2003,08:00:00,1.0439
33,02.01.2003,09:00:00,1.0458
34,02.01.2003,10:00:00,1.0476
35,02.01.2003,11:00:00,1.0478
36,02.01.2003,12:00:00,1.0468
37,02.01.2003,13:00:00,1.0448
38,02.01.2003,14:00:00,1.0467
39,02.01.2003,15:00:00,1.0456
40,02.01.2003,16:00:00,1.03725
41,02.01.2003,17:00:00,1.03635
42,02.01.2003,18:00:00,1.03505
43,02.01.2003,19:00:00,1.03525
44,02.01.2003,20:00:00,1.0362
45,02.01.2003,21:00:00,1.0361
46,02.01.2003,22:00:00,1.03575
47,02.01.2003,23:00:00,1.03625
48,03.01.2003,00:00:00,1.03555
49,03.01.2003,01:00:00,1.03745
50,03.01.2003,02:00:00,1.03765
51,03.01.2003,03:00:00,1.03735
52,03.01.2003,04:00:00,1.03765
53,03.01.2003,05:00:00,1.03815
54,03.01.2003,06:00:00,1.03685
55,03.01.2003,07:00:00,1.03685
56,03.01.2003,08:00:00,1.0359
57,03.01.2003,09:00:00,1.0343
58,03.01.2003,10:00:00,1.03555
59,03.01.2003,11:00:00,1.03925
60,03.01.2003,12:00:00,1.0373
61,03.01.2003,13:00:00,1.03705
62,03.01.2003,14:00:00,1.0395
63,03.01.2003,15:00:00,1.03975
64,03.01.2003,16:00:00,1.04175
65,03.01.2003,17:00:00,1.0419
66,03.01.2003,18:00:00,1.04165
67,03.01.2003,19:00:00,1.04155
68,03.01.2003,20:00:00,1.0416
69,03.01.2003,21:00:00,1.0417
70,03.01.2003,22:00:00,1.0424
71,03.01.2003,23:00:00,1.043
72,04.01.2003,00:00:00,1.04255
73,04.01.2003,01:00:00,1.0428
74,04.01.2003,02:00:00,NA
75,04.01.2003,03:00:00,NA
76,04.01.2003,04:00:00,NA
77,04.01.2003,05:00:00,1.0428
78,04.01.2003,06:00:00,1.04255
79,04.01.2003,07:00:00,1.04295
80,04.01.2003,08:00:00,1.04275
81,04.01.2003,09:00:00,1.04285
82,04.01.2003,10:00:00,1.04295
83,04.01.2003,11:00:00,1.0429
84,04.01.2003,12:00:00,1.04325
85,04.01.2003,13:00:00,1.04395
86,04.01.2003,14:00:00,NA
87,04.01.2003,15:00:00,1.04355
88,04.01.2003,16:00:00,NA
89,04.01.2003,17:00:00,NA
90,04.01.2003,18:00:00,NA
91,04.01.2003,19:00:00,NA
92,04.01.2003,20:00:00,NA
93,04.01.2003,21:00:00,NA
94,04.01.2003,22:00:00,NA
95,04.01.2003,23:00:00,NA
96,05.01.2003,00:00:00,1.0428
97,05.01.2003,01:00:00,NA
98,05.01.2003,02:00:00,NA
99,05.01.2003,03:00:00,1.04255
