#,id,date,max,min,max_st,min_st,pre,evap,pet,solar_rad,sunshine
1,KLGA,01/01/1981,26.0,21.0,999999,999999,0.01,999999,999999,999999,999999
2,KLGA,01/02/1981,32.0,17.0,999999,999999,0.00,999999,999999,999999,999999
3,KLGA,01/03/1981,17.0,12.0,999999,999999,0.08,999999,999999,999999,999999
4,KLGA,01/04/1981,13.0,4.0,999999,999999,0.00,999999,999999,999999,999999
5,KLGA,01/05/1981,28.0,10.0,999999,999999,0.00,999999,999999,999999,999999
6,KLGA,01/06/1981,31.0,20.0,999999,999999,0.09,999999,999999,999999,999999
7,KLGA,01/07/1981,34.0,15.0,999999,999999,0.21,999999,999999,999999,999999
8,KLGA,01/08/1981,18.0,10.0,999999,999999,0.00,999999,999999,999999,999999
9,KLGA,01/09/1981,22.0,13.0,999999,999999,0.00,999999,999999,999999,999999
10,KLGA,01/10/1981,23.0,10.0,999999,999999,0.00,999999,999999,999999,999999
11,KLGA,01/11/1981,15.0,6.0,999999,999999,0.00,999999,999999,999999,999999
12,KLGA,01/12/1981,12.0,1.0,999999,999999,0.00,999999,999999,999999,999999
13,KLGA,01/13/1981,18.0,4.0,999999,999999,0.00,999999,999999,999999,999999
14,KLGA,01/14/1981,30.0,17.0,999999,999999,0.00,999999,999999,999999,999999
15,KLGA,01/15/1981,30.0,24.0,999999,999999,0.00,999999,999999,999999,999999
