#,AWIS_Station_ID,date,Max_Temp,Min_Temp,MaxST,MinST,Precip,Evap,PEvap,Solar_rad,Sunshine
1,LFPG,01/01/1975,47.1,40,999999,999999,0.00,999999,999999,999999,999999
2,LFPG,01/02/1975,44,35,999999,999999,0.00,999999,999999,999999,999999
3,LFPG,01/03/1975,36,31,999999,999999,0.12,999999,999999,999999,999999
4,LFPG,01/04/1975,38,34,999999,999999,0.00,999999,999999,999999,999999
5,LFPG,01/05/1975,41,37,999999,999999,0.00,999999,999999,999999,999999
6,LFPG,01/06/1975,42,37,999999,999999,0.00,999999,999999,999999,999999
7,LFPG,01/07/1975,44,37,999999,999999,0.00,999999,999999,999999,999999
8,LFPG,01/08/1975,51,39,999999,999999,0.18,999999,999999,999999,999999
9,LFPG,01/09/1975,51,47,999999,999999,0.13,999999,999999,999999,999999
10,LFPG,01/10/1975,51,45,999999,999999,0.00,999999,999999,999999,999999
11,LFPG,01/11/1975,44,39,999999,999999,0.00,999999,999999,999999,999999
12,LFPG,01/12/1975,45,38,999999,999999,0.00,999999,999999,999999,999999
13,LFPG,01/13/1975,51,40,999999,999999,0.00,999999,999999,999999,999999
14,LFPG,01/14/1975,52,41,999999,999999,0.00,999999,999999,999999,999999
15,LFPG,01/15/1975,58,43,999999,999999,0.00,999999,999999,999999,999999
16,LFPG,01/16/1975,59,53,999999,999999,0.04,999999,999999,999999,999999
17,LFPG,01/17/1975,52,47,999999,999999,0.39,999999,999999,999999,999999
18,LFPG,01/18/1975,50,43,999999,999999,0.11,999999,999999,999999,999999
19,LFPG,01/19/1975,49,43,999999,999999,0.36,999999,999999,999999,999999
20,LFPG,01/20/1975,45,36,999999,999999,0.00,999999,999999,999999,999999
21,LFPG,01/21/1975,42,32,999999,999999,0.06,999999,999999,999999,999999
22,LFPG,01/22/1975,47,36,999999,999999,0.00,999999,999999,999999,999999
23,LFPG,01/23/1975,47,35,999999,999999,0.11,999999,999999,999999,999999
24,LFPG,01/24/1975,49,42,999999,999999,0.05,999999,999999,999999,999999
25,LFPG,01/25/1975,50,39,999999,999999,0.02,999999,999999,999999,999999
