#,id,date,max,min,max_st,min_st,pre,evap,pet,solar_rad,sunshine
1,KATL,01/01/1981,55.0,35.0,999999,999999,0.00,999999,999999,999999,999999
2,KATL,01/02/1981,48.0,31.0,999999,999999,0.00,999999,999999,999999,999999
3,KATL,01/03/1981,60.0,27.0,999999,999999,0.00,999999,999999,999999,999999
4,KATL,01/04/1981,46.0,23.0,999999,999999,0.00,999999,999999,999999,999999
5,KATL,01/05/1981,39.0,13.0,999999,999999,0.00,999999,999999,999999,999999
6,KATL,01/06/1981,44.0,28.0,999999,999999,0.21,999999,999999,999999,999999
7,KATL,01/07/1981,44.0,28.0,999999,999999,0.02,999999,999999,999999,999999
8,KATL,01/08/1981,48.0,22.0,999999,999999,0.00,999999,999999,999999,999999
9,KATL,01/09/1981,52.0,28.0,999999,999999,0.00,999999,999999,999999,999999
10,KATL,01/10/1981,40.0,20.0,999999,999999,0.00,999999,999999,999999,999999
