#,id,date,max,min,max_st,min_st,pre,evap,pet,solar_rad,sunshine
1,KATL,01/01/2001,34.0,19.9,999999,999999,0.00,0.07,0.05,2790,7
2,KATL,01/02/2001,32.0,19.0,999999,999999,0.00,0.00,0.00,1473,2
3,KATL,01/03/2001,37.9,17.1,999999,999999,0.00,0.08,0.04,3022,8
4,KATL,01/04/2001,39.9,17.1,999999,999999,0.00,0.08,0.03,2898,7
5,KATL,01/05/2001,48.0,24.1,999999,999999,0.00,0.11,0.07,2797,7
6,KATL,01/06/2001,55.9,32.0,999999,999999,0.00,0.14,0.14,3014,7
7,KATL,01/07/2001,53.1,30.0,999999,999999,0.00,0.13,0.10,3729,10
8,KATL,01/08/2001,57.0,33.1,999999,999999,0.45,0.13,0.05,1837,3
9,KATL,01/09/2001,44.1,25.0,999999,999999,0.01,0.08,0.08,1348,1
10,KATL,01/10/2001,37.0,24.1,999999,999999,0.00,0.08,0.09,3104,7
