#,id,date,max,min,max_st,min_st,pre,evap,pet,solar_rad,sunshine
1,KORD,01/01/1981,33.0,26.0,999999,999999,0.00,999999,999999,999999,999999
2,KORD,01/02/1981,26.0,17.0,999999,999999,0.00,999999,999999,999999,999999
3,KORD,01/03/1981,22.0,-5.0,999999,999999,0.00,999999,999999,999999,999999
4,KORD,01/04/1981,5.0,-9.0,999999,999999,0.00,999999,999999,999999,999999
5,KORD,01/05/1981,24.0,-2.0,999999,999999,0.00,999999,999999,999999,999999
6,KORD,01/06/1981,32.0,16.0,999999,999999,0.02,999999,999999,999999,999999
7,KORD,01/07/1981,16.0,4.0,999999,999999,0.00,999999,999999,999999,999999
8,KORD,01/08/1981,20.0,5.0,999999,999999,0.00,999999,999999,999999,999999
9,KORD,01/09/1981,19.0,5.0,999999,999999,0.00,999999,999999,999999,999999
10,KORD,01/10/1981,16.0,-2.0,999999,999999,0.00,999999,999999,999999,999999
