#,Date(dd.mm.yyyy),GMT-Time(HH:00:00),CloseMid
1,01.01.2013,01:00:00,86.73
2,01.01.2013,02:00:00,86.745
3,01.01.2013,03:00:00,86.73
4,01.01.2013,04:00:00,86.725
5,01.01.2013,05:00:00,86.73
6,01.01.2013,06:00:00,86.74
7,01.01.2013,07:00:00,86.74
8,01.01.2013,08:00:00,86.74
9,01.01.2013,09:00:00,86.74
10,01.01.2013,10:00:00,86.745
11,01.01.2013,11:00:00,86.74
12,01.01.2013,12:00:00,86.74
13,01.01.2013,13:00:00,86.74
14,01.01.2013,14:00:00,86.73
15,01.01.2013,15:00:00,86.73
16,01.01.2013,16:00:00,86.74
17,01.01.2013,17:00:00,86.76
18,01.01.2013,18:00:00,86.755
19,01.01.2013,19:00:00,86.735
20,01.01.2013,20:00:00,86.762
21,01.01.2013,21:00:00,86.57
22,01.01.2013,22:00:00,86.6905
23,01.01.2013,23:00:00,86.775
24,02.01.2013,00:00:00,86.6145
25,02.01.2013,01:00:00,86.758
26,02.01.2013,02:00:00,86.9315
27,02.01.2013,03:00:00,87.157
28,02.01.2013,04:00:00,87.245
29,02.01.2013,05:00:00,87.136
30,02.01.2013,06:00:00,87.18
31,02.01.2013,07:00:00,87.2445
32,02.01.2013,08:00:00,87.219
33,02.01.2013,09:00:00,87.149
34,02.01.2013,10:00:00,87.093
35,02.01.2013,11:00:00,87.035
36,02.01.2013,12:00:00,87.113
37,02.01.2013,13:00:00,87.0205
38,02.01.2013,14:00:00,87.105
39,02.01.2013,15:00:00,87.222
40,02.01.2013,16:00:00,87.177
41,02.01.2013,17:00:00,87.1
42,02.01.2013,18:00:00,87.103
43,02.01.2013,19:00:00,87.133
44,02.01.2013,20:00:00,87.122
45,02.01.2013,21:00:00,87.2605
46,02.01.2013,22:00:00,87.344
47,02.01.2013,23:00:00,87.335
48,03.01.2013,00:00:00,87.2855
49,03.01.2013,01:00:00,87.1765
50,03.01.2013,02:00:00,87.15
51,03.01.2013,03:00:00,87.262
52,03.01.2013,04:00:00,87.246
53,03.01.2013,05:00:00,87.241
54,03.01.2013,06:00:00,87.252
55,03.01.2013,07:00:00,87.2415
56,03.01.2013,08:00:00,87.147
57,03.01.2013,09:00:00,87.1345
58,03.01.2013,10:00:00,87.133
59,03.01.2013,11:00:00,86.898
60,03.01.2013,12:00:00,86.86
61,03.01.2013,13:00:00,86.86
62,03.01.2013,14:00:00,86.9015
63,03.01.2013,15:00:00,86.966
64,03.01.2013,16:00:00,86.8425
65,03.01.2013,17:00:00,86.9225
66,03.01.2013,18:00:00,86.8755
67,03.01.2013,19:00:00,87.0705
68,03.01.2013,20:00:00,87.168
69,03.01.2013,21:00:00,87.263
70,03.01.2013,22:00:00,87.241
71,03.01.2013,23:00:00,87.438
72,04.01.2013,00:00:00,87.718
73,04.01.2013,01:00:00,87.7145
74,04.01.2013,02:00:00,87.609
75,04.01.2013,03:00:00,87.7155
76,04.01.2013,04:00:00,87.7485
77,04.01.2013,05:00:00,87.736
78,04.01.2013,06:00:00,87.7575
79,04.01.2013,07:00:00,87.7445
80,04.01.2013,08:00:00,88.075
81,04.01.2013,09:00:00,88.211
82,04.01.2013,10:00:00,88.1915
83,04.01.2013,11:00:00,88.2575
84,04.01.2013,12:00:00,88.264
85,04.01.2013,13:00:00,88.348
86,04.01.2013,14:00:00,87.9295
87,04.01.2013,15:00:00,87.797
88,04.01.2013,16:00:00,88.0425
89,04.01.2013,17:00:00,88.152
90,04.01.2013,18:00:00,88.298
91,04.01.2013,19:00:00,88.199
92,04.01.2013,20:00:00,88.133
93,04.01.2013,21:00:00,88.141
94,04.01.2013,22:00:00,88.1575
95,04.01.2013,23:00:00,88.15
96,05.01.2013,00:00:00,88.135
97,05.01.2013,01:00:00,NA
98,05.01.2013,02:00:00,NA
99,05.01.2013,03:00:00,NA
