#,Date(dd.mm.yyyy),GMT-Time(HH:00:00),CloseMid
1,01.01.2020,01:00:00,108.685
2,01.01.2020,02:00:00,108.695
3,01.01.2020,03:00:00,108.694
4,01.01.2020,04:00:00,108.756
5,01.01.2020,05:00:00,108.775
6,01.01.2020,06:00:00,NA
7,01.01.2020,07:00:00,111
8,01.01.2020,08:00:00,111
9,01.01.2020,09:00:00,111
10,01.01.2020,10:00:00,111.12
11,01.01.2020,11:00:00,111.12
12,01.01.2020,12:00:00,111
13,01.01.2020,13:00:00,111
14,01.01.2020,14:00:00,111.085
15,01.01.2020,15:00:00,108.695
16,01.01.2020,16:00:00,111
17,01.01.2020,17:00:00,111.12
18,01.01.2020,18:00:00,108.645
19,01.01.2020,19:00:00,108.775
20,01.01.2020,20:00:00,108.716
21,01.01.2020,21:00:00,108.725
22,01.01.2020,22:00:00,108.761
23,01.01.2020,23:00:00,108.69
24,02.01.2020,00:00:00,108.7245
25,02.01.2020,01:00:00,108.7035
26,02.01.2020,02:00:00,108.676
27,02.01.2020,03:00:00,108.679
28,02.01.2020,04:00:00,108.7075
29,02.01.2020,05:00:00,108.743
30,02.01.2020,06:00:00,108.7415
31,02.01.2020,07:00:00,108.7155
32,02.01.2020,08:00:00,108.7845
33,02.01.2020,09:00:00,108.7805
34,02.01.2020,10:00:00,108.839
35,02.01.2020,11:00:00,108.8075
36,02.01.2020,12:00:00,108.7725
37,02.01.2020,13:00:00,108.788
38,02.01.2020,14:00:00,108.6935
39,02.01.2020,15:00:00,108.6745
40,02.01.2020,16:00:00,108.272
41,02.01.2020,17:00:00,108.434
42,02.01.2020,18:00:00,108.529
43,02.01.2020,19:00:00,108.522
44,02.01.2020,20:00:00,108.5495
45,02.01.2020,21:00:00,108.557
46,02.01.2020,22:00:00,108.57
47,02.01.2020,23:00:00,108.548
48,03.01.2020,00:00:00,108.5455
49,03.01.2020,01:00:00,108.408
50,03.01.2020,02:00:00,108.2055
51,03.01.2020,03:00:00,108.0625
52,03.01.2020,04:00:00,108.1825
53,03.01.2020,05:00:00,108.1325
54,03.01.2020,06:00:00,108.123
55,03.01.2020,07:00:00,108.1415
56,03.01.2020,08:00:00,107.949
57,03.01.2020,09:00:00,107.9925
58,03.01.2020,10:00:00,108.069
59,03.01.2020,11:00:00,108.0515
60,03.01.2020,12:00:00,108.0295
61,03.01.2020,13:00:00,108.085
62,03.01.2020,14:00:00,108.158
63,03.01.2020,15:00:00,108.2215
64,03.01.2020,16:00:00,108.04
65,03.01.2020,17:00:00,107.9475
66,03.01.2020,18:00:00,107.9685
67,03.01.2020,19:00:00,108.053
68,03.01.2020,20:00:00,108.014
69,03.01.2020,21:00:00,108.0935
70,03.01.2020,22:00:00,108.095
71,03.01.2020,23:00:00,108.095
72,04.01.2020,00:00:00,NA
73,04.01.2020,01:00:00,NA
74,04.01.2020,02:00:00,NA
75,04.01.2020,03:00:00,NA
76,04.01.2020,04:00:00,NA
77,04.01.2020,05:00:00,NA
78,04.01.2020,06:00:00,NA
79,04.01.2020,07:00:00,NA
80,04.01.2020,08:00:00,NA
81,04.01.2020,09:00:00,NA
82,04.01.2020,10:00:00,NA
83,04.01.2020,11:00:00,NA
84,04.01.2020,12:00:00,NA
85,04.01.2020,13:00:00,NA
86,04.01.2020,14:00:00,NA
87,04.01.2020,15:00:00,NA
88,04.01.2020,16:00:00,NA
89,04.01.2020,17:00:00,NA
90,04.01.2020,18:00:00,NA
91,04.01.2020,19:00:00,NA
92,04.01.2020,20:00:00,NA
93,04.01.2020,21:00:00,NA
94,04.01.2020,22:00:00,NA
95,04.01.2020,23:00:00,NA
96,05.01.2020,00:00:00,NA
97,05.01.2020,01:00:00,NA
98,05.01.2020,02:00:00,NA
99,05.01.2020,03:00:00,NA
