#,id,date,max,min,max_st,min_st,pre,evap,pet,solar_rad,sunshine
1,KLAX,01/01/2001,64.0,45.0,999999,999999,0.01,0.13,0.05,1585,2
2,KLAX,01/02/2001,72.0,45.0,999999,999999,0.02,0.19,0.00,2422,6
3,KLAX,01/03/2001,80.1,46.0,999999,999999,0.01,0.28,0.19,3223,9
4,KLAX,01/04/2001,82.0,48.9,999999,999999,0.00,0.32,0.23,3414,9
5,KLAX,01/05/2001,82.0,53.1,999999,999999,0.00,0.31,0.20,2863,7
6,KLAX,01/06/2001,71.1,51.1,999999,999999,0.00,0.21,0.12,1206,1
7,KLAX,01/07/2001,69.1,46.9,999999,999999,0.01,0.16,0.10,3172,8
8,KLAX,01/08/2001,69.1,46.9,999999,999999,0.00,0.15,0.06,1742,3
9,KLAX,01/09/2001,57.0,50.0,999999,999999,0.23,0.08,0.01,1159,1
10,KLAX,01/10/2001,64.9,48.9,999999,999999,0.00,0.14,0.07,2504,5
