#,id,Country Code,Country,Region,Municipality,Name_en,Total Population,Males,Females,Pop 0-14,Pop 15-64,Pop 64+,EU,EZ,Balkan,Baltic,Scandinavian,BeNeLux,Area_km2,Population Density
1,2497841,AL,Albania,Lezhë,Kurbin,,39436,19347,20089,6705,25954,6777,No,No,Yes,No,No,No,289.9698041169792,136.00036776274396
2,2499097,AL,Albania,Dibër,MAT,Mat Municipality,21424,11147,10277,4388,14804,2232,No,No,Yes,No,No,No,516.1721738885786,41.50553068097894
3,15391357,AL,Albania,Dibër,Klos,,12899,6711,6188,2641,8914,1344,No,No,Yes,No,No,No,330.88022435637447,38.98389523003688
4,15391637,AL,Albania,Durrës,Shijak,,30725,15484,15241,5118,20745,4862,No,No,Yes,No,No,No,92.51839355549907,332.0961250972108
5,15391737,AL,Albania,Tiranë,Kavajë,,49506,24356,25150,8062,34022,7422,No,No,Yes,No,No,No,206.27101872650928,240.0046322825362
6,15391739,AL,Albania,Tiranë,Rrogozhinë,,27347,13453,13894,4453,18794,4100,No,No,Yes,No,No,No,221.99080290166705,123.18978823691906
7,15376279,AL,Albania,Elbasan,Cërrik,,23127,11370,11757,3863,15417,3847,No,No,Yes,No,No,No,173.5204433804113,133.28112555186567
8,2501183,AL,Albania,Elbasan,Gramsh,,20418,10038,10380,3411,13611,3396,No,No,Yes,No,No,No,729.5246983746575,27.988086003791544
9,2501169,AL,Albania,Elbasan,Peqin,,22025,10828,11197,3678,14683,3664,No,No,Yes,No,No,No,208.4843193132716,105.64343674645822
10,2501131,AL,Albania,Elbasan,Belsh,,16434,8080,8354,2745,10955,2734,No,No,Yes,No,No,No,186.614485196808,88.06390341386586
11,15397387,AL,Albania,Fier,Patos,,24938,12444,12494,3913,17014,4011,No,No,Yes,No,No,No,90.15673702525258,276.60717127567466
12,2502989,AL,Albania,Fier,Lushnje,,25463,12706,12757,3995,17372,4096,No,No,Yes,No,No,No,379.4122784137991,67.11169207926699
13,15405359,AL,Albania,Korçë,Maliq,,36559,17905,18654,5704,25263,5592,No,No,Yes,No,No,No,693.2672059307189,52.73435651830543
14,15400525,AL,Albania,Gjirokastër,Libohovë,,2709,1291,1418,374,1853,482,No,No,Yes,No,No,No,228.7055048089318,11.844926960823216
15,15400531,AL,Albania,Gjirokastër,Memaliaj,,7872,3751,4121,1086,5384,1402,No,No,Yes,No,No,No,368.6184065378785,21.35541758192449
16,15400529,AL,Albania,Gjirokastër,Këlcyrë,,4515,2153,2362,622,3089,804,No,No,Yes,No,No,No,287.01567970492096,15.730847891801046
17,2507829,AL,Albania,Gjirokastër,Tepelenë,,6610,3150,3460,912,4521,1177,No,No,Yes,No,No,No,435.5330226251489,15.176805561513168
18,2507805,AL,Albania,Gjirokastër,Gjirokastër,,21180,10093,11087,2921,14486,3773,No,No,Yes,No,No,No,473.4903301795617,44.7316421266046
19,2511081,AL,Albania,Vlorë,Delvinë,,7935,3952,3983,1109,5524,1302,No,No,Yes,No,No,No,198.90573591665893,39.893268856383045
20,15398219,AL,Albania,Vlorë,Selenicë,,17124,8531,8593,2394,11922,2808,No,No,Yes,No,No,No,595.3134252429571,28.764679702984047
