#,time,dewpoint_2meter,temperature_2meter,cape_index,mean_sea_level_pressure,snow_depth,snowfall,surface_pressure,solar_radiation_surface,total_cloud_cover,total_precipitation,relative_humidity,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_direction_text_10m,wind_direction_text_100m,windchill,uv_index,precipitation_type
1,2003-01-01 00:00,-18.8,-16.6,0.0,1018.2,1.0,0.0,989.4,0.0,7.0,0.0,83.0,5.4,10.3,82.0,87.0,E,E,-26.1,0.0,snow
2,2003-01-01 01:00,-18.3,-16.2,0.0,1018.2,1.0,0.0,989.4,0.0,67.0,0.0,84.0,5.6,10.6,81.0,86.0,E,E,-25.7,0.0,snow
3,2003-01-01 02:00,-16.1,-14.5,0.0,1017.8,1.0,0.0,989.1,0.0,90.0,0.0,88.0,5.7,10.7,80.0,85.0,E,E,-23.7,0.0,snow
4,2003-01-01 03:00,-15.9,-14.5,0.0,1017.6,1.0,0.0,988.9,0.0,80.0,0.0,89.0,6.0,10.9,79.0,84.0,E,E,-23.9,0.0,snow
5,2003-01-01 04:00,-15.9,-14.5,0.0,1017.2,1.0,0.0,988.6,0.0,92.0,0.0,89.0,6.4,11.2,79.0,84.0,E,E,-24.2,0.0,snow
6,2003-01-01 05:00,-14.9,-13.3,0.0,1017.0,1.0,0.0,988.4,0.0,100.0,0.0,88.0,6.7,11.5,76.0,81.0,E,E,-22.9,0.0,snow
7,2003-01-01 06:00,-14.9,-13.1,0.0,1016.8,1.0,0.0,988.3,0.0,99.0,0.0,87.0,7.1,12.0,73.0,77.0,E,E,-22.8,0.0,snow
8,2003-01-01 07:00,-14.8,-13.1,0.0,1016.8,1.0,0.0,988.3,5.0,93.0,0.0,87.0,7.6,12.4,72.0,75.0,E,E,-23.1,0.0,snow
9,2003-01-01 08:00,-12.2,-10.2,0.0,1016.8,1.0,0.0,988.3,59.0,55.0,0.0,86.0,7.8,12.6,73.0,76.0,E,E,-19.6,1.0,snow
10,2003-01-01 09:00,-12.3,-10.3,0.0,1016.7,1.0,0.0,988.3,129.0,7.0,0.0,85.0,7.9,12.7,73.0,76.0,E,E,-19.7,1.0,snow
11,2003-01-01 10:00,-11.7,-8.2,0.0,1016.5,1.0,0.0,988.2,192.0,2.0,0.0,76.0,8.1,13.2,76.0,78.0,E,E,-17.1,2.0,snow
12,2003-01-01 11:00,-11.9,-8.4,0.0,1016.2,1.0,0.0,987.9,198.0,9.0,0.0,76.0,8.0,13.1,75.0,78.0,E,E,-17.3,2.0,no precipitation
13,2003-01-01 12:00,-11.9,-8.4,0.0,1016.1,1.0,0.0,987.9,173.0,32.0,0.0,76.0,7.9,13.0,75.0,77.0,E,E,-17.3,1.0,no precipitation
14,2003-01-01 13:00,-11.6,-8.3,0.0,1016.1,1.0,0.0,987.8,105.0,0.0,0.0,77.0,7.6,12.7,74.0,76.0,E,E,-16.9,1.0,snow
15,2003-01-01 14:00,-12.5,-9.3,0.0,1016.1,1.0,0.0,987.8,25.0,53.0,0.0,78.0,7.2,12.4,71.0,74.0,E,E,-18.0,0.0,no precipitation
16,2003-01-01 15:00,-12.1,-9.1,0.0,1016.1,1.0,0.0,987.8,0.0,87.0,0.0,79.0,6.7,11.7,68.0,71.0,NE,E,-17.5,0.0,snow
17,2003-01-01 16:00,-11.8,-9.2,0.0,1016.0,1.0,0.0,987.7,0.0,93.0,0.0,81.0,6.1,11.0,64.0,68.0,NE,NE,-17.2,0.0,no precipitation
18,2003-01-01 17:00,-12.8,-11.0,0.0,1015.6,1.0,0.0,987.3,0.0,97.0,0.0,86.0,5.6,10.3,58.0,62.0,NE,NE,-19.1,0.0,no precipitation
19,2003-01-01 18:00,-12.8,-11.1,0.0,1015.5,1.0,0.0,987.1,0.0,92.0,0.0,87.0,5.2,9.9,49.0,53.0,NE,NE,-19.0,0.0,no precipitation
20,2003-01-01 19:00,-12.7,-11.1,0.0,1015.1,1.0,0.0,986.7,0.0,76.0,0.0,88.0,5.0,9.6,41.0,44.0,NE,NE,-18.8,0.0,no precipitation
