#,AWIS_Station_ID,date,Max_Temp,Min_Temp,MaxST,MinST,Precip,Evap,PEvap,Solar_rad,Sunshine
1,RP425,01/01/2001,86.4,75.9,999999,999999,0.00,999999,999999,999999,999999
2,RP425,01/02/2001,83.3,76.3,999999,999999,0.00,999999,999999,999999,999999
3,RP425,01/03/2001,85.1,75.9,999999,999999,0.00,999999,999999,999999,999999
4,RP425,01/04/2001,85.3,75.2,999999,999999,0.00,999999,999999,999999,999999
5,RP425,01/05/2001,78.8,74.3,999999,999999,0.00,999999,999999,999999,999999
6,RP425,01/06/2001,86,72,999999,999999,0.00,999999,999999,999999,999999
7,RP425,01/07/2001,87,76,999999,999999,0.05,999999,999999,999999,999999
8,RP425,01/08/2001,89,76,999999,999999,0.00,999999,999999,999999,999999
9,RP425,01/09/2001,87,78,999999,999999,0.00,999999,999999,999999,999999
10,RP425,01/10/2001,88.7,79.5,999999,999999,0.00,999999,999999,999999,999999
11,RP425,01/11/2001,88,77.4,999999,999999,0.00,999999,999999,999999,999999
12,RP425,01/12/2001,87,75,999999,999999,0.00,999999,999999,999999,999999
13,RP425,01/13/2001,81.1,79.7,999999,999999,1.26,999999,999999,999999,999999
14,RP425,01/14/2001,82,78,999999,999999,0.24,999999,999999,999999,999999
15,RP425,01/15/2001,79,75,999999,999999,0.02,999999,999999,999999,999999
16,RP425,01/16/2001,79,75,999999,999999,0.07,999999,999999,999999,999999
17,RP425,01/17/2001,81,74,999999,999999,0.02,999999,999999,999999,999999
18,RP425,01/18/2001,84,74,999999,999999,0.02,999999,999999,999999,999999
19,RP425,01/19/2001,85,75,999999,999999,0.00,999999,999999,999999,999999
20,RP425,01/20/2001,83,76,999999,999999,0.02,999999,999999,999999,999999
21,RP425,01/21/2001,86.4,76.1,999999,999999,0.00,999999,999999,999999,999999
22,RP425,01/22/2001,86,76,999999,999999,0.00,999999,999999,999999,999999
23,RP425,01/23/2001,86,75,999999,999999,0.00,999999,999999,999999,999999
24,RP425,01/24/2001,83.5,77.7,999999,999999,0.00,999999,999999,999999,999999
25,RP425,01/25/2001,87,78,999999,999999,0.02,999999,999999,999999,999999
