#,id,date,max,min,max_st,min_st,pre,evap,pet,solar_rad,sunshine
1,KBOS,01/01/2001,30.9,23.0,999999,999999,0.00,0.00,0.00,1102,3
2,KBOS,01/02/2001,35.1,19.0,999999,999999,0.00,0.08,0.06,2237,9
3,KBOS,01/03/2001,30.0,18.0,999999,999999,0.00,0.00,0.00,2258,9
4,KBOS,01/04/2001,32.0,21.0,999999,999999,0.00,0.00,0.00,1381,4
5,KBOS,01/05/2001,34.0,19.9,999999,999999,0.00,0.07,0.02,1201,3
6,KBOS,01/06/2001,36.0,21.9,999999,999999,0.23,0.00,0.00,707,0
7,KBOS,01/07/2001,35.1,28.0,999999,999999,0.05,0.05,0.00,655,0
8,KBOS,01/08/2001,36.0,26.1,999999,999999,0.00,0.07,0.01,2013,7
9,KBOS,01/09/2001,39.0,30.0,999999,999999,0.07,0.06,0.00,909,1
10,KBOS,01/10/2001,32.0,12.9,999999,999999,0.01,0.00,0.00,895,1
