#,id,date,max,min,max_st,min_st,pre,evap,pet,solar_rad,sunshine
1,KLGA,05/01/1948,67.0,49.0,999999,999999,0.00,999999,999999,999999,999999
2,KLGA,05/02/1948,65.0,46.0,999999,999999,0.02,999999,999999,999999,999999
3,KLGA,05/03/1948,59.0,47.0,999999,999999,0.20,999999,999999,999999,999999
4,KLGA,05/04/1948,63.0,47.0,999999,999999,0.00,999999,999999,999999,999999
5,KLGA,05/05/1948,54.0,46.0,999999,999999,0.79,999999,999999,999999,999999
6,KLGA,05/06/1948,69.0,47.0,999999,999999,0.00,999999,999999,999999,999999
7,KLGA,05/07/1948,51.0,47.0,999999,999999,0.63,999999,999999,999999,999999
8,KLGA,05/08/1948,52.0,49.0,999999,999999,0.00,999999,999999,999999,999999
9,KLGA,05/09/1948,63.0,46.0,999999,999999,0.00,999999,999999,999999,999999
10,KLGA,05/10/1948,86.0,60.0,999999,999999,0.00,999999,999999,999999,999999
11,KLGA,05/11/1948,73.0,52.0,999999,999999,0.00,999999,999999,999999,999999
12,KLGA,05/12/1948,88.0,49.0,999999,999999,0.61,999999,999999,999999,999999
13,KLGA,05/13/1948,62.0,48.0,999999,999999,1.18,999999,999999,999999,999999
14,KLGA,05/14/1948,54.0,47.0,999999,999999,0.05,999999,999999,999999,999999
15,KLGA,05/15/1948,67.0,50.0,999999,999999,0.01,999999,999999,999999,999999
16,KLGA,05/16/1948,56.0,50.0,999999,999999,0.77,999999,999999,999999,999999
17,KLGA,05/17/1948,66.0,55.0,999999,999999,0.52,999999,999999,999999,999999
18,KLGA,05/18/1948,68.0,54.0,999999,999999,0.03,999999,999999,999999,999999
19,KLGA,05/19/1948,65.0,50.0,999999,999999,0.00,999999,999999,999999,999999
20,KLGA,05/20/1948,70.0,50.0,999999,999999,0.00,999999,999999,999999,999999
21,KLGA,05/21/1948,76.0,50.0,999999,999999,0.02,999999,999999,999999,999999
22,KLGA,05/22/1948,62.0,47.0,999999,999999,0.00,999999,999999,999999,999999
23,KLGA,05/23/1948,72.0,54.0,999999,999999,0.00,999999,999999,999999,999999
24,KLGA,05/24/1948,74.0,54.0,999999,999999,0.00,999999,999999,999999,999999
25,KLGA,05/25/1948,61.0,54.0,999999,999999,0.54,999999,999999,999999,999999
26,KLGA,05/26/1948,68.0,57.0,999999,999999,0.01,999999,999999,999999,999999
27,KLGA,05/27/1948,75.0,57.0,999999,999999,0.00,999999,999999,999999,999999
28,KLGA,05/28/1948,77.0,58.0,999999,999999,0.00,999999,999999,999999,999999
29,KLGA,05/29/1948,79.0,60.0,999999,999999,0.00,999999,999999,999999,999999
30,KLGA,05/30/1948,72.0,62.0,999999,999999,1.94,999999,999999,999999,999999
31,KLGA,05/31/1948,65.0,61.0,999999,999999,0.10,999999,999999,999999,999999
32,KLGA,06/01/1948,78.0,59.0,999999,999999,0.00,999999,999999,999999,999999
33,KLGA,06/02/1948,84.0,57.0,999999,999999,0.00,999999,999999,999999,999999
34,KLGA,06/03/1948,73.0,58.0,999999,999999,0.00,999999,999999,999999,999999
35,KLGA,06/04/1948,76.0,58.0,999999,999999,0.00,999999,999999,999999,999999
36,KLGA,06/05/1948,71.0,58.0,999999,999999,0.03,999999,999999,999999,999999
37,KLGA,06/06/1948,74.0,54.0,999999,999999,0.00,999999,999999,999999,999999
38,KLGA,06/07/1948,73.0,58.0,999999,999999,0.30,999999,999999,999999,999999
39,KLGA,06/08/1948,80.0,65.0,999999,999999,0.02,999999,999999,999999,999999
40,KLGA,06/09/1948,68.0,58.0,999999,999999,0.01,999999,999999,999999,999999
41,KLGA,06/10/1948,69.0,57.0,999999,999999,0.00,999999,999999,999999,999999
42,KLGA,06/11/1948,85.0,57.0,999999,999999,0.02,999999,999999,999999,999999
43,KLGA,06/12/1948,81.0,62.0,999999,999999,1.13,999999,999999,999999,999999
44,KLGA,06/13/1948,65.0,58.0,999999,999999,0.34,999999,999999,999999,999999
45,KLGA,06/14/1948,74.0,58.0,999999,999999,0.00,999999,999999,999999,999999
46,KLGA,06/15/1948,76.0,62.0,999999,999999,0.01,999999,999999,999999,999999
47,KLGA,06/16/1948,69.0,61.0,999999,999999,0.00,999999,999999,999999,999999
48,KLGA,06/17/1948,79.0,59.0,999999,999999,0.00,999999,999999,999999,999999
49,KLGA,06/18/1948,75.0,58.0,999999,999999,0.00,999999,999999,999999,999999
50,KLGA,06/19/1948,77.0,62.0,999999,999999,1.46,999999,999999,999999,999999
