#,id,date,max,min,max_st,min_st,pre,evap,pet,solar_rad,sunshine
1,KLGA,01/01/2001,30.0,24.1,999999,999999,0.00,0.00,0.00,1829,6
2,KLGA,01/02/2001,35.1,21.0,999999,999999,0.00,0.00,0.00,2087,7
3,KLGA,01/03/2001,28.0,19.9,999999,999999,0.00,0.00,0.00,2293,8
4,KLGA,01/04/2001,32.0,21.9,999999,999999,0.00,0.00,0.00,1953,6
5,KLGA,01/05/2001,34.0,26.1,999999,999999,0.00,0.07,0.01,1263,3
6,KLGA,01/06/2001,33.1,27.0,999999,999999,0.18,0.00,0.00,715,0
7,KLGA,01/07/2001,39.0,30.0,999999,999999,0.00,0.08,0.03,1755,5
8,KLGA,01/08/2001,42.1,30.9,999999,999999,0.00,0.08,0.01,2244,7
9,KLGA,01/09/2001,37.9,32.0,999999,999999,0.28,0.06,0.00,735,0
10,KLGA,01/10/2001,32.0,24.1,999999,999999,0.00,0.00,0.00,1486,3
11,KLGA,01/11/2001,35.1,23.0,999999,999999,0.00,0.08,0.08,2252,7
12,KLGA,01/12/2001,46.0,33.1,999999,999999,0.00,0.10,0.08,1783,5
13,KLGA,01/13/2001,42.1,28.9,999999,999999,0.00,0.08,0.01,2381,8
14,KLGA,01/14/2001,39.9,28.9,999999,999999,0.00,0.08,0.01,2197,7
15,KLGA,01/15/2001,43.0,34.0,999999,999999,0.37,0.07,0.00,1163,2
