#,time,dewpoint_2meter,temperature_2meter,cape_index,mean_sea_level_pressure,snow_depth,snowfall,surface_pressure,solar_radiation_surface,total_cloud_cover,total_precipitation,relative_humidity,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_direction_text_10m,wind_direction_text_100m,windchill,uv_index,precipitation_type
1,2003-01-01 00:00,-27.5,-25.6,0.0,1006.2,1.0,0.0,996.0,0.0,96.0,0.0,84.0,3.4,6.4,99.0,102.0,E,E,-34.8,0.0,snow
2,2003-01-01 01:00,-27.4,-25.4,0.0,1005.8,1.0,0.0,995.6,0.0,94.0,0.0,83.0,3.1,6.1,95.0,99.0,E,E,-34.2,0.0,snow
3,2003-01-01 02:00,-27.3,-25.3,0.0,1005.2,1.0,0.0,995.0,0.0,95.0,0.0,83.0,3.1,6.0,91.0,96.0,E,E,-34.0,0.0,snow
4,2003-01-01 03:00,-27.1,-25.0,0.0,1005.0,2.0,0.0,994.9,0.0,98.0,0.0,83.0,2.9,5.6,87.0,93.0,E,E,-33.4,0.0,snow
5,2003-01-01 04:00,-26.9,-24.8,0.0,1004.6,3.0,0.0,994.4,0.0,91.0,0.0,83.0,2.8,5.4,81.0,89.0,E,E,-33.0,0.0,snow
6,2003-01-01 05:00,-26.7,-24.5,0.0,1004.0,3.0,0.0,993.9,0.0,86.0,0.0,82.0,2.6,5.0,78.0,84.0,E,E,-32.2,0.0,snow
7,2003-01-01 06:00,-26.7,-24.4,0.0,1003.5,3.0,0.0,993.3,0.0,97.0,0.0,81.0,2.2,4.5,75.0,83.0,E,E,-31.4,0.0,snow
8,2003-01-01 07:00,-26.9,-24.5,0.0,1003.2,3.0,0.0,993.1,0.0,99.0,0.0,81.0,2.0,4.3,66.0,80.0,NE,E,-31.0,0.0,snow
9,2003-01-01 08:00,-25.7,-23.3,0.0,1003.1,3.0,0.0,993.0,12.0,97.0,0.0,81.0,2.0,4.3,63.0,79.0,NE,E,-29.6,0.0,snow
10,2003-01-01 09:00,-25.8,-23.6,0.0,1002.9,3.0,0.0,992.8,48.0,84.0,0.0,82.0,2.1,4.4,64.0,78.0,NE,E,-30.1,0.0,snow
11,2003-01-01 10:00,-24.9,-22.2,0.0,1002.7,3.0,0.0,992.6,75.0,48.0,0.0,79.0,2.4,4.9,74.0,87.0,E,E,-29.3,1.0,snow
12,2003-01-01 11:00,-24.8,-22.1,0.0,1002.8,3.0,0.0,992.7,75.0,51.0,0.0,79.0,2.5,5.0,77.0,89.0,E,E,-29.2,1.0,snow
13,2003-01-01 12:00,-24.5,-21.9,0.0,1002.3,3.0,0.0,992.2,51.0,51.0,0.0,79.0,2.7,5.3,75.0,88.0,E,E,-29.4,1.0,snow
14,2003-01-01 13:00,-24.3,-22.0,0.0,1002.3,3.0,0.0,992.2,16.0,59.0,0.0,81.0,3.1,5.8,74.0,86.0,E,E,-30.1,0.0,snow
15,2003-01-01 14:00,-24.7,-22.4,0.0,1002.4,3.0,0.0,992.3,0.0,53.0,0.0,82.0,3.3,6.3,76.0,85.0,E,E,-30.9,0.0,snow
16,2003-01-01 15:00,-24.1,-21.8,0.0,1002.7,3.0,0.0,992.6,0.0,53.0,0.0,81.0,3.4,6.6,78.0,86.0,E,E,-30.3,0.0,snow
17,2003-01-01 16:00,-23.8,-21.4,0.0,1002.6,3.0,0.0,992.5,0.0,57.0,0.0,81.0,3.6,6.9,80.0,87.0,E,E,-30.1,0.0,snow
18,2003-01-01 17:00,-23.8,-21.3,0.0,1002.8,3.0,0.0,992.7,0.0,65.0,0.0,81.0,3.7,7.0,81.0,88.0,E,E,-30.1,0.0,snow
19,2003-01-01 18:00,-23.2,-20.7,0.0,1002.6,3.0,0.0,992.5,0.0,60.0,0.0,80.0,3.6,7.0,80.0,87.0,E,E,-29.2,0.0,snow
20,2003-01-01 19:00,-23.0,-20.4,0.0,1002.6,3.0,0.0,992.5,0.0,75.0,0.0,80.0,3.6,6.9,79.0,86.0,E,E,-28.9,0.0,snow
