#,Job Name,Job Compensation,Job Description,Job Skills,Job Type,Job Remote,Job Seniority Level,Job Source,Job Source Url,Job Trigger Date,Job Location City,Job Location Country,Company Name,Company Summary,Company Description,Company Number of Employees,Company Industry,Company Specialization,Company Keywords,Company Website,company Linkedin Url,Company Source Url,Company Location City,Company Location State,Company Location Country,Company Location Region,Company Annual Revenue,Company Total Funding Amount,Company Last Funding Round Type,Company Last Funding Round Amount,Company Last Funding Round Date
15,Grafiker / Mediengestalter (m/w/d) mit Schwerpunkt digitale Medien in Vollzeit / ab sofort,,Beschreibung Ein Universum an Ideen Hast du auch ein Universum an Ideen im Kopf und möchtest dei...,".NET, Unity",,,,Monster,https://www.monster.de/jobs/suche?q=.NET&where=Deutschland&tm=1&page=16#c87a1708-ca01-4694-8c16-4...,2021-03-31 02:38:44,Wiesbaden,Germany,N.O. ME Medienproduktion,,The NO ME team consists of people who have turned their passion into a profession. Doing their wo...,2,Professional Services,Media Production,"animation, events, virtual reality",no-me.net,http://www.linkedin.com/company/n-o-me-medienproduktion-gmbh,https://www.monster.de/generated_company_url/n-o-me-medienproduktion,Wiesbaden,Hesse,Germany,,0,0,,,
16,Unity Developer,,We are looking for a talented Unity Developer to join our DreamView Team. This is a remote/teleco...,"Unity, C++",,,,Monster,https://job-openings.monster.com/unity-developer-novato-ca-us-dreamview/f1534ddf-cd73-46e7-beb3-a...,2021-02-21 04:59:22,Novato,United States,DreamView,,"Creating virtual 3D/360 interactive experiences for a variety of use cases including real estate,...",1,Professional Services,Media Production,,dreamview-tours.com,http://www.linkedin.com/company/dreamview-tours,,Novato,California,United States,,,,,,
17,Android Developer,31.2,Put a smile on a billion faces WOMBO is a venture-backed lip sync app. All you have to do is take...,"Android, Java",Full-time,REMOTE,,Angel.co,https://angel.co/company/wombo-2/jobs/1271831-android-developer,2021-03-26 12:49:16,Toronto,Canada,WOMBO,,,11,Media,Online Media,,wombo.ai,http://www.linkedin.com/company/wombo-ai,https://angel.co/company/wombo-2,Toronto,Ontario,Canada,,0,0,,,
18,CTO/Co-Founder,,We re currently working on an exciting music technology start up and we re searching for a CTO Te...,"Java, Android, Swift, UX",Full-time,,,Angel.co,https://angel.co/company/imperial-beatz/jobs/774583-cto-co-founder,2020-05-06 11:02:27,,,Imperial Beatz Start-up,,,6,Media,Online Media,,demo-logocottage.com,,https://angel.co/company/imperial-beatz,,,,,,,,,
19,Ingénieur R&D IA/Traitement de signal,,Nous recherchons un : Ing&eacute;nieur R&D IA/Traitement de signal [CDI] RFence est une start-up ...,Machine Learning,,,,Glassdoor,https://www.glassdoor.com/job-listing/ing%C3%A9nieur-rd-ia-traitement-de-signal-rfence-JV_IC30613...,2021-06-10 06:50:08,Lille,France,RFence,,"Basé sur un réseau de capteurs de qualité militaire, notre logiciel permet de détecter et de loca...",3,Hardware,Telecommunications,,rfence.fr,http://www.linkedin.com/company/rfence,https://www.glassdoor.com/generated_company_url/rfence,Lille,Hauts-de-France,France,,0,0,,,
20,Platform Developer,,What does the platform developer do The mission of our platform developer is to help design defin...,,,,,Glassdoor,"https://www.glassdoor.com/job-listing/platform-developer-whereby-us-JV_IC1154170_KO0,18_KE19,29.h...",2020-07-16 08:26:07,Miami,United States of America,WhereBy.Us,,We build communities. We believe in driving impact and action. We've built a unique backend tech ...,21,Agency,Media Production,,whereby.us,http://www.linkedin.com/company/whereby-us,"https://www.glassdoor.com/Overview/Working-at-WhereBy-Us-EI_IE1855419.11,21.htm",Miami,Florida,United States,,2000000,2275000,Seed,,2019-02-09
21,Head of IT,,About UsDivimove is one of the spearheads in the international online video business and has been...,React,Full-time,,,Angel.co,https://angel.co/company/divimove/jobs/900635-head-of-it,2020-07-15 12:06:15,Berlin,Germany,Divimove,,DIVIMOVE is a digital native media company headquartered in Berlin. The company operates Europe's...,160,Media,Online Media,"influencer marketing, online video, audience development, youtube, brand awareness, social media,...",divimove.com,http://www.linkedin.com/company/divimove-gmbh,https://angel.co/company/divimove,Berlin,Berlin,Germany,,,,Venture (Round not Specified),,2017-03-10
22,Software Developer (UK),,"Who we are Babl is a rapidly growing cloud-based technology company, specialising in conference c...","PHP, Linux, MySQL, React, Docker",,,,Glassdoor,"https://www.glassdoor.com/job-listing/software-developer-uk-babl-JV_IC2671300_KO0,21_KE22,26.htm?...",2021-04-23 23:54:39,London,United Kingdom,Babl,,At Babl Cloud we empower remote workers & global professionals to communicate and collaborate sea...,35,Hardware,Telecommunications,,bablglobal.com,http://www.linkedin.com/company/babl-global,"https://www.glassdoor.com/Overview/Working-at-Babl-EI_IE1567068.11,15.htm",London,,United Kingdom,,0,0,,,
23,Software Developer,50.0,Sevis Systems LLC is a leading provider of Identity and enhanced signaling solutions to mobile an...,"Python, Javascript, AWS, MySQL",,,,Indeed,https://www.indeed.com/viewjob?cmp=Sevis-Systems%2C-LLC&t=Software+Developer&jk=45c9a818b006ce89&...,2020-05-22 12:13:36,Plano,United States of America,Sevis Systems,,Sevis Systems is a leading provider of mobile backhaul and enhanced signaling solutions to mobile...,14,Real Sector,Telecommunications,"identity services, software development, signaling experts, fraud detection, elimination services...",sevis.com,http://www.linkedin.com/company/sevis-systems,https://www.linkedin.com/company/sevis-systems/about/,Lewisville,Texas,United States,,9000000,,,,
24,Software Engineer,21.0,We are looking for talented Linux Software Engineers to maintain our products Operating System,"Python, CSS, Linux",Internship,,,Angel.co,https://angel.co/company/hotspotbnb/jobs/686615-software-engineer,2020-01-29 22:00:12,,United States of America,HotspotBnB® - Free Internet & IPTV,,,61,Real Sector,Telecommunications,,wave.hotspotbnb.com,,https://angel.co/company/hotspotbnb,,,,,,,,,
25,FULL STACK ENGINEER GAMEPLAY,,FULLSTACK GAMEPLAY ENGINEER We are looking for a gameplay full stack engineer who can architect o...,"NodeJS, AWS, HTML, Docker, SQL",Full-time,,Entry level,LinkedIn,https://www.linkedin.com/jobs/view/1936317441/?alternateChannel=search&refId=38f6bf81-89d8-413e-8...,2020-07-23 11:10:13,,,Poker Central,,"Poker Central is the ultimate destination for fans of poker tournaments, cash games, and lifestyl...",28,Agency,Broadcast Media,,pokercentral.com,http://www.linkedin.com/company/pokercentral,https://www.linkedin.com/company/pokercentral/about/,Las Vegas,Nevada,United States,,,,,,
26,"Software Engineer (JS, React, CSS, UX)",,Who we are At Broadway com the result of your work will be seen and used by millions of people to...,"React, CSS, UX, Python, Javascript",Full-time,,"Junior, Mid-Level",StackOverflow,https://stackoverflow.com/jobs/267143/software-engineer-js-react-css-ux-broadwaycom,2020-01-18 00:06:20,,United States of America,Broadway.com,,"Broadway.com is a subsidiary of The John Gore Organization, the leading developer, producer, and ...",,Entertainment,Music,,broadway.com,,,,,,,,,,,
27,Junior PHP Web Developer - £22k to £24k,11.5,We re looking for an enthusiastic computer geek to join our small team Web design Networking Digi...,"PHP, HTML, CSS, Javascript, Linux",,,,Indeed,https://www.indeed.co.uk/viewjob?jk=6bfd1fb39d9c8657&from=serp&vjs=3,2020-04-28 14:28:13,Tewkesbury,United Kingdom,Cable Intelligence,,"We offer a full range of cable assemblies, connectors, networking hardware, home automation & ter...",7,Real Sector,Telecommunications,"fibre networking, structured networking, data cabinets, security, connectors, construction produc...",cableintelligence.co.uk,http://www.linkedin.com/company/cable-intelligence-limited,,Tewkesbury,England,United Kingdom,,,,,,
28,Sr. UX/UI Designer,76.2,"* Overview: * We are your complete Virtual Venue + Hybrid Destination. As live event experts, Vir...","UX, UI, .NET, React, HTML",Full_time,REMOTE,,Angel.co,https://angel.co/company/virtual-tables/jobs/1414927-sr-ux-ui-designer,2021-06-04 10:18:04,New York,United States,Virtual Tables,,"We are your complete Virtual Venue + Hybrid Destination. As live event experts, Virtual Tables ...",7,Media,Online Media,,virtualtables.com,http://www.linkedin.com/company/virtual-tables,https://angel.co/company/virtual-tables,,New York,United States,,0,0,,,
