#,Date(dd.mm.yyyy),GMT-Time(HH:00:00),CloseMid
1,01.01.2007,01:00:00,1.95845
2,01.01.2007,02:00:00,1.95905
3,01.01.2007,03:00:00,1.959
4,01.01.2007,04:00:00,NA
5,01.01.2007,05:00:00,1.95845
6,01.01.2007,06:00:00,NA
7,01.01.2007,07:00:00,1.95845
8,01.01.2007,08:00:00,NA
9,01.01.2007,09:00:00,1.95845
10,01.01.2007,10:00:00,NA
11,01.01.2007,11:00:00,1.95845
12,01.01.2007,12:00:00,NA
13,01.01.2007,13:00:00,1.95845
14,01.01.2007,14:00:00,NA
15,01.01.2007,15:00:00,1.95845
16,01.01.2007,16:00:00,NA
17,01.01.2007,17:00:00,1.95845
18,01.01.2007,18:00:00,1.95775
19,01.01.2007,19:00:00,1.95815
20,01.01.2007,20:00:00,1.95855
21,01.01.2007,21:00:00,1.95865
22,01.01.2007,22:00:00,1.9593
23,01.01.2007,23:00:00,1.96185
24,02.01.2007,00:00:00,1.96375
25,02.01.2007,01:00:00,1.96525
26,02.01.2007,02:00:00,1.9647
27,02.01.2007,03:00:00,1.9653
28,02.01.2007,04:00:00,1.9656
29,02.01.2007,05:00:00,1.9657
30,02.01.2007,06:00:00,1.96585
31,02.01.2007,07:00:00,1.96405
32,02.01.2007,08:00:00,1.9686
33,02.01.2007,09:00:00,1.9728
34,02.01.2007,10:00:00,1.97165
35,02.01.2007,11:00:00,1.97145
36,02.01.2007,12:00:00,1.969925
37,02.01.2007,13:00:00,1.9715
38,02.01.2007,14:00:00,1.9736
39,02.01.2007,15:00:00,1.9723
40,02.01.2007,16:00:00,1.972775
41,02.01.2007,17:00:00,1.97365
42,02.01.2007,18:00:00,1.9738
43,02.01.2007,19:00:00,1.9733
44,02.01.2007,20:00:00,1.973075
45,02.01.2007,21:00:00,1.9732
46,02.01.2007,22:00:00,1.9737
47,02.01.2007,23:00:00,1.97345
48,03.01.2007,00:00:00,1.9732
49,03.01.2007,01:00:00,1.97415
50,03.01.2007,02:00:00,1.974625
51,03.01.2007,03:00:00,1.9748
52,03.01.2007,04:00:00,1.975025
53,03.01.2007,05:00:00,1.9744
54,03.01.2007,06:00:00,1.97225
55,03.01.2007,07:00:00,1.9729
56,03.01.2007,08:00:00,1.97195
57,03.01.2007,09:00:00,1.97145
58,03.01.2007,10:00:00,1.97025
59,03.01.2007,11:00:00,1.96305
60,03.01.2007,12:00:00,1.9601
61,03.01.2007,13:00:00,1.9608
62,03.01.2007,14:00:00,1.9587
63,03.01.2007,15:00:00,1.95705
64,03.01.2007,16:00:00,1.9525
65,03.01.2007,17:00:00,1.94975
66,03.01.2007,18:00:00,1.95015
67,03.01.2007,19:00:00,1.9492
68,03.01.2007,20:00:00,1.95065
69,03.01.2007,21:00:00,1.9501
70,03.01.2007,22:00:00,1.9515
71,03.01.2007,23:00:00,1.9508
72,04.01.2007,00:00:00,1.952
73,04.01.2007,01:00:00,1.9508
74,04.01.2007,02:00:00,1.95155
75,04.01.2007,03:00:00,1.95185
76,04.01.2007,04:00:00,1.9526
77,04.01.2007,05:00:00,1.95145
78,04.01.2007,06:00:00,1.95225
79,04.01.2007,07:00:00,1.9504
80,04.01.2007,08:00:00,1.95075
81,04.01.2007,09:00:00,1.94125
82,04.01.2007,10:00:00,1.943025
83,04.01.2007,11:00:00,1.94195
84,04.01.2007,12:00:00,1.94495
85,04.01.2007,13:00:00,1.94525
86,04.01.2007,14:00:00,1.944925
87,04.01.2007,15:00:00,1.94385
88,04.01.2007,16:00:00,1.9446
89,04.01.2007,17:00:00,1.9442
90,04.01.2007,18:00:00,1.9442
91,04.01.2007,19:00:00,1.94485
92,04.01.2007,20:00:00,1.9444
93,04.01.2007,21:00:00,1.94353
94,04.01.2007,22:00:00,1.9429
95,04.01.2007,23:00:00,1.9444
96,05.01.2007,00:00:00,1.942795
97,05.01.2007,01:00:00,1.94035
98,05.01.2007,02:00:00,1.94085
99,05.01.2007,03:00:00,1.9388
