size,dimension,volume,description,category,update_frequency,price_mode,coverage,run
0.0,0.0,0.0027008721757772235,0.8779162121106749,0.0025411649206287853,0.07433106006650993,0.0,0.16504543206260922,RandomForest_fold_1_all
0.0,0.0,0.01265014518963474,0.8316768485526449,0.0022905534296603827,0.10741106677332836,0.0,0.11413566854077499,RandomForest_fold_2_all
0.0,0.0,0.010231437052444363,0.9581013430713686,0.0018575523850850701,0.10141779115575308,0.0,0.19741174254188437,RandomForest_fold_3_all
0.0,0.0,0.004888449076926142,0.8887095627846306,0.0016667885687786644,0.18025965025985535,0.0,0.12963787438919122,RandomForest_fold_4_all
0.0,0.0,0.009050352337386205,0.954811221402232,0.0017463755062898582,0.14962877316622553,0.0,0.08920426755683229,RandomForest_fold_5_all
0.0,0.0,0.008386498691661743,1.0486932500522572,0.004143835210083166,0.0638650518791812,0.0,0.1394571864440303,GradientBoosting_fold_1_all
0.0,0.0,0.02202118285325028,1.01672742265476,0.010225950255641904,0.10376907315375238,0.0,0.11787220887578674,GradientBoosting_fold_2_all
0.0,0.0,0.01844266170213024,1.1679455059059178,0.007509510895861608,0.10995423880355008,0.0,0.16478619094064095,GradientBoosting_fold_3_all
0.0,0.0,0.026040248411794534,1.0850288882135002,0.018100873733089162,0.13543466515314886,0.0,0.14831937911245457,GradientBoosting_fold_4_all
0.0,0.0,0.0236544724069297,1.1312983499644613,0.006317354495485727,0.09428038515628298,0.0,0.15009601084619448,GradientBoosting_fold_5_all
0.0,0.0,0.0635402366079603,1.1511852812608916,0.0019276112718456327,0.045699552128654404,0.0,0.18608195882742823,XGBoost_fold_1_all
0.0,0.0,0.09167214902352773,1.0933261311052933,0.005414748437490189,0.104756295397821,0.0,0.1605893810630113,XGBoost_fold_2_all
0.0,0.0,0.07250054865528553,1.2476527164044449,0.006043740237207646,0.11111196583983389,0.0,0.18719774273618908,XGBoost_fold_3_all
0.0,0.0,0.08899713427435249,1.2006267162016804,0.0055635452403273045,0.13863567267673557,0.0,0.1982983096553492,XGBoost_fold_4_all
0.0,0.0,0.08924046716226952,1.2377383384669576,0.0019951692985146724,0.09155031168586446,0.0,0.1541347004227331,XGBoost_fold_5_all
