size,dimension,volume,description,category,update_frequency,price_mode,coverage,run
0.003689303901108611,0.004039063207272875,6.119341837940487e-05,1.0696734473820062,0.006863945104331104,0.08641442018534101,0.0,0.011691267796903583,RandomForest_fold_1_all
0.0027416906682294273,0.00669867263338365,0.00027343434620744463,1.0159976383635907,0.008378887935119745,0.11735470135193038,0.0,0.015192759997219855,RandomForest_fold_2_all
0.004321367345792232,0.002044653989390162,5.122161962785397e-05,1.0041673202841013,0.004559059835356124,0.19264113983289446,0.0,0.014729804538039688,RandomForest_fold_3_all
0.001804954439774488,0.003976888902722388,9.22669277665434e-05,0.9734632638754457,0.0044983842220989384,0.10013858357717174,0.0,0.018122398679299816,RandomForest_fold_4_all
0.0011693936543537944,0.005842050207990167,4.814636766115718e-06,1.1094827370425024,0.004686313622926514,0.08862557267711431,0.0,0.016067042768401457,RandomForest_fold_5_all
0.005301459886262129,0.0015884047531390339,0.001203324348804268,1.1223605511315855,0.010951739842639151,0.1240307071027247,0.0,0.0236135255189759,GradientBoosting_fold_1_all
0.003525858115862477,0.0031973714280435976,0.0016604996931624742,1.0490815269154534,0.028051161250269647,0.161536656805008,0.0,0.010481991424479177,GradientBoosting_fold_2_all
0.021392321916152566,0.004637391609872353,0.00038504757077015674,1.1020126093382046,0.018209698454906928,0.18830992981271139,0.0,0.05120077989693553,GradientBoosting_fold_3_all
0.004139543390335065,0.0024923327155652103,0.005850914942317417,1.0394486540805128,0.017357967451714574,0.16587357011207066,0.0,0.014214478259988466,GradientBoosting_fold_4_all
0.01396464153181697,0.027871075689302884,0.0025320951295133417,1.146954382447274,0.020499783543303837,0.12935028632293108,0.0,0.014021770332901033,GradientBoosting_fold_5_all
0.02012414460001219,0.09030094216202707,0.20747543880224764,1.0576292735319641,0.012702139788682544,0.10787466587417795,0.0,0.04926762323935275,XGBoost_fold_1_all
0.013114184081367539,0.07307969815526688,0.1664364692640697,1.0806370664136238,0.0409313020788844,0.09915212221358494,0.0,0.016871247119970168,XGBoost_fold_2_all
0.036112522780438645,0.10793822496383876,0.1969955485419997,1.101730518896303,0.025340580385524974,0.1333198749392657,0.0,0.02185475620943762,XGBoost_fold_3_all
0.027543561046956096,0.1344366651389067,0.20333393625726734,1.0495929094419647,0.012573555447602915,0.11273185029257352,0.0,0.016702630254964955,XGBoost_fold_4_all
0.02405250191331054,0.07357505294102806,0.1896168112218652,1.1742503028922624,0.01085397148610403,0.07291591269030442,0.0,0.026050242591112,XGBoost_fold_5_all
